,Indicator,NFHS_5
103,Women - Blood sugar level - very high (>160 mg/dl)(%),7.3
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.3
106,Men - Blood sugar level - high (141-160 mg/dl)(%),12.8
107,Men - Blood sugar level - very high (>160 mg/dl) (%),9.2
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),22.9
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.8
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.5
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),18.8
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.3
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.3
121,Ever undergone a screening test for cervical cancer (%),0.2
122,Ever undergone a breast examination for breast cancer (%),0.0
123,Ever undergone an oral cavity examination for oral cancer (%),0.0
125,Women age 15 years and above who use any kind of tobacco (%),52.5
126,Men age 15 years and above who use any kind of tobacco (%),64.0
127,Women age 15 years and above who consume alcohol (%),6.1
128,Men age 15 years and above who consume alcohol (%),33.5
