,Indicator,NFHS-5
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.9
93,pressure (%),22.4
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6
96,pressure (%),24.2
97,Ever undergone a screening test for cervical cancer (%),1.4
98,Ever undergone a breast examination for breast cancer (%),0.5
99,Ever undergone an oral cavity examination for oral cancer (%),1.8
100,Women age 15 years and above who use any kind of tobacco (%),51.0
101,Men age 15 years and above who use any kind of tobacco (%),54.3
102,Women age 15 years and above who consume alcohol (%),5.6
103,Men age 15 years and above who consume alcohol (%),30.5
