Indicator,NFHS-5
Breastfeeding children age 6-23 months receiving an adequate diet (%),(4.7)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),8.7
Children under 5 years who are stunted (height-for-age) (%),22.1
Children under 5 years who are wasted (weight-for-height) (%),10.3
Children under 5 years who are severely wasted (weight-for-height) (%),2.9
Children under 5 years who are underweight (weight-for-age) (%),10.8
Children under 5 years who are overweight (weight-for-height) (%),7.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.0
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),40.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),84.7
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.3
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(31.8)
All women age 15-49 years who are anaemic (%),55.0
All women age 15-19 years who are anaemic (%),57.4
Women - Blood sugar level - high (141-160 mg/dl)(%),4.7
Women - Blood sugar level - very high (>160 mg/dl)(%),9.3
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.1
Men - Blood sugar level - high (141-160 mg/dl)(%),5.1
Men - Blood sugar level - very high (>160 mg/dl) (%),4.5
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.1
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.4
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.0
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),33.0
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.9
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),32.5
Ever undergone a screening test for cervical cancer (%),0.9
Ever undergone a breast examination for breast cancer (%),0.4
Ever undergone an oral cavity examination for oral cancer (%),0.5
Women age 15 years and above who use any kind of tobacco (%),0.4
Men age 15 years and above who use any kind of tobacco (%),15.8
Women age 15 years and above who consume alcohol (%),0.3
Men age 15 years and above who consume alcohol (%),24.3
