,Indicator,NFHS_5,NFHS_4
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(89.6),79.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.6),85.8
63,Children age 12-23 months who have received BCG (%),(95.7),98.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.8),89.6
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.7),85.5
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(95.9),87.1
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(27.7),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(71.5),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(91.3),80.7
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.9,73.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(94.6),85.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(5.4),15.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.4,10.0
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(79.7)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(24.9)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(91.7)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.6,7.3
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(52.0),87.1
82,Children under age 3 years breastfed within one hour of birth (%),65.3,18.0
83,Children under age 6 months exclusively breastfed (%),*,(56.6)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet(%),(3.4),4.6
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet(%),7.8,7.6
88,Children under 5 years who are stunted (height-for-age) (%),23.4,27.3
89,Children under 5 years who are wasted (weight-for-height) (%),10.4,18.0
90,Children under 5 years who are severely wasted (weight-for-height) (%),3.8,7.8
91,Children under 5 years who are underweight (weight-for-age) (%),18.1,19.2
92,Children under 5 years who are overweight (weight-for-height) (%),2.7,5.5
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.1,14.8
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),37.6,30.3
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),70.3,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),66.9,51.4
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.7,46.9
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(49.4),(53.3)
101,All women age 15-49 years who are anaemic (%),52.6,47.1
102,All women age 15-19 years who are anaemic (%),62.7,48.5
105,Women - Blood sugar level - high (141-160 mg/dl)(%),3.3,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),7.0,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.2,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),6.5,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.6,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.1,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.5,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.9,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),26.2,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),13.4,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),41.8,na
124,Ever undergone a screening test for cervical cancer (%),2.6,na
125,Ever undergone a breast examination for breast cancer (%),0.7,na
126,Ever undergone an oral cavity examination for oral cancer (%),0.5,na
128,Women age 15 years and above who use any kind of tobacco (%),0.6,na
129,Men age 15 years and above who use any kind of tobacco (%),12.7,na
130,Women age 15 years and above who consume alcohol (%),0.3,na
131,Men age 15 years and above who consume alcohol (%),22.0,na
