,Indicator,NFHS-5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(87.7)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(83.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(25.4)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(43.6)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(78.9)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(94.3)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(3.9)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
65,health provider (%),(56.7)
66,Children under age 3 years breastfed within one hour of birth (%),50.5
67,Children under age 6 months exclusively breastfed (%),(62.7)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),13.0
72,Children under 5 years who are stunted (height-for-age) (%),35.9
73,Children under 5 years who are wasted (weight-for-height) (%),9.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.7
75,Children under 5 years who are underweight (weight-for-age) (%),20.2
76,Children under 5 years who are overweight (weight-for-height) (%),4.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),31.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),63.3
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),67.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(62.6)
83,All women age 15-49 years who are anaemic (%),66.9
84,All women age 15-19 years who are anaemic (%),66.0
85,Blood sugar level - high (141-160 mg/dl)(%),6.0
86,Blood sugar level - very high (>160 mg/dl)(%),6.8
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.3
88,Blood sugar level - high (141-160 mg/dl)(%),6.2
89,Blood sugar level - very high (>160 mg/dl) (%),7.2
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.0
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.2
93,pressure (%),27.9
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),25.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.9
96,pressure (%),36.2
97,Ever undergone a screening test for cervical cancer (%),5.2
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),0.4
101,Men age 15 years and above who use any kind of tobacco (%),17.5
102,Women age 15 years and above who consume alcohol (%),0.3
103,Men age 15 years and above who consume alcohol (%),20.8
