,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
83,Children under 5 years who are severely wasted (weight-for-height) (%),4.3,3.3,3.7,5.6
84,Children under 5 years who are underweight (weight-for-age) (%),17.9,16.4,16.9,21.6
85,Children under 5 years who are overweight (weight-for-height) (%),4.4,4.0,4.1,2.3
86,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.9,13.1,12.7,11.7
87,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.2,13.5,12.5,10.9
88,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),44.3,38.8,40.8,31.3
89,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),35.2,30.2,32.2,27.8
90,Women who have high risk waist-to-hip ratio (≥0.85) (%),73.0,72.6,72.8,na
91,Men who have high risk waist-to-hip ratio (≥0.90) (%),70.4,58.1,63.1,na
92,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.0,71.1,71.1,56.6
93,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.3,58.6,58.8,54.0
94,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),46.2,54.4,51.7,42.0
95,All women age 15-49 years who are anaemic (%),59.0,58.5,58.7,53.5
96,All women age 15-19 years who are anaemic (%),58.6,61.3,60.3,58.0
97,Men age 15-49 years who are anaemic (<13.0 g/dl)%),20.2,24.3,22.6,25.9
98,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),30.2,34.6,32.7,30.8
99,Blood sugar level - high (141-160 mg/dl)(%),5.8,5.8,5.8,na
100,Blood sugar level - very high (>160 mg/dl)(%),8.6,7.6,8.0,na
101,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.5,14.3,14.7,na
102,Blood sugar level - high (141-160 mg/dl)(%),6.7,6.0,6.3,na
103,Blood sugar level - very high (>160 mg/dl) (%),8.0,6.4,7.0,na
104,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.9,13.0,14.1,na
105,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.3,18.6,18.5,na
106,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),7.5,9.3,8.6,na
107,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),30.8,31.4,31.2,na
108,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),24.4,24.5,24.5,na
109,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),9.3,11.9,11.0,na
110,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),36.5,38.4,37.7,na
111,Ever undergone a screening test for cervical cancer (%),2.4,2.5,2.4,na
112,Ever undergone a breast examination for breast cancer (%),0.4,0.3,0.3,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.6,0.3,0.4,na
114,Ever undergone an oral cavity examination for oral cancer (%),0.5,0.3,0.4,na
115,Women who have comprehensive knowledge of HIV/AIDS (%),24.0,18.4,20.6,49.3
116,Men who have comprehensive knowledge of HIV/AIDS(%),42.4,34.2,37.6,62.3
117,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),72.5,65.3,68.1,87.7
118,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.3,84.4,86.4,94.2
119,Currently married women who usually participate in three household decisions(%),93.3,90.3,91.4,90.2
120,Women who worked in the last 12 months and were paid in cash (%),25.6,20.2,22.3,18.5
121,Women owning a house and/or land (alone or jointly with others) (%),58.0,67.1,63.5,32.1
122,Women having a bank or savings account that they themselves use (%),80.9,82.1,81.6,58.8
123,Women having a mobile phone that they themselves use (%),71.0,54.9,61.2,57.2
124,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.4,91.9,93.2,84.4
125,Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.2,12.6,11.6,20.5
126,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.4,1.7,1.6,2.3
127,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.2,0.1,0.0
128,Women age 15 years and above who use any kind of tobacco (%),0.5,0.3,0.4,na
129,Men age 15 years and above who use any kind of tobacco (%),12.0,13.4,12.9,na
130,Women age 15 years and above who consume alcohol (%),0.3,0.4,0.3,na
131,Men age 15 years and above who consume alcohol (%),19.7,24.8,22.8,na
