,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
110,Women - Ever undergone a screening test for cervical cancer (%),2.5,2.1,2.3,na
111,Women - Ever undergone a breast examination for breast cancer (%),1.6,1.0,1.3,na
112,Women - Ever undergone an oral cavity examination for oral cancer (%),1.7,0.9,1.3,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),0.5,0.6,0.6,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),39.2,30.1,34.4,30.0
115,Men who have comprehensive knowledge of HIV/AIDS(%),50.7,35.1,42.6,44.5
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),76.3,68.5,72.1,67.9
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.6,79.8,84.5,86.4
118,Currently married women who usually participate in three household decisions(%),90.7,89.2,89.8,89.3
119,Women who worked in the last 12 months and were paid in cash (%),29.1,39.6,34.7,28.9
120,Women owning a house and/or land (alone or jointly with others) (%),21.1,24.5,22.9,34.3
121,Women having a bank or savings account that they themselves use (%),75.0,70.9,72.8,45.3
122,Women having a mobile phone that they themselves use (%),68.2,43.1,54.8,45.6
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),90.2,80.1,84.8,66.1
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),21.0,28.6,25.2,21.3
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,4.0,3.3,2.9
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),1.3,1.0,1.2,0.9
127,Women age 15 years and above who use any kind of tobacco (%),6.6,14.7,10.9,na
128,Men age 15 years and above who use any kind of tobacco (%),26.2,40.6,33.8,na
129,Women age 15 years and above who consume alcohol (%),0.3,0.5,0.4,na
130,Men age 15 years and above who consume alcohol (%),13.0,14.7,13.9,na
