Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.0,27.4,30.3,16.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),74.9,71.9,72.9,32.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.2,66.8,73.4,64.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"16,197","13,564","14,518","10,348"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.6,0.5,0.4
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.6,63.9,70.3,na
Institutional births (%),92.5,73.9,79.9,69.1
Institutional births in public facility (%),64.5,56.9,59.4,45.7
Home births that were conducted by skilled health personnel (%),3.1,7.1,5.8,8.0
Births attended by skilled health personnel (%),95.6,80.8,85.6,77.2
Births delivered by caesarean section (%),38.0,19.7,25.6,21.1
Births in a private health facility that were delivered by caesarean section (%),57.8,49.6,53.2,46.2
Births in a public health facility that were delivered by caesarean section (%),33.9,19.7,24.7,22.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),75.1,65.9,68.8,65.8
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),79.6,73.9,75.7,78.0
Children age 12-23 months who have received BCG (%),95.2,95.5,95.4,91.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),80.7,73.3,75.6,76.6
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.8,78.4,81.4,77.8
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),83.7,73.3,76.6,74.2
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),18.1,14.1,15.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),9.6,5.5,6.8,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.5,76.5,80.0,69.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.7,43.0,44.9,39.0
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),88.6,94.0,92.3,92.9
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),11.4,2.9,5.6,6.1
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,5.6,5.6,5.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(66.7),71.2,69.8,60.2
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(28.2),25.1,26.1,14.1
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(45.9),49.2,48.2,31.2
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,1.5,1.8,1.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),44.8,39.3,41.2,39.1
Children under age 3 years breastfed within one hour of birth (%),48.9,56.0,53.7,65.4
Children under age 6 months exclusively breastfed (%),65.7,73.4,70.7,73.6
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(83.5),77.4,78.9,78.8
Breastfeeding children age 6-23 months receiving an adequate diet  (%),19.6,19.1,19.3,19.3
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,21.4,22.4,14.0
Total children age 6-23 months receiving an adequate diet  (%),20.0,19.4,19.6,18.8
Children under 5 years who are stunted (height-for-age) (%),20.1,25.1,23.4,28.9
Children under 5 years who are wasted (weight-for-height) (%),9.8,10.0,9.9,6.8
Children under 5 years who are severely wasted (weight-for-height) (%),2.6,3.8,3.4,2.2
Children under 5 years who are underweight (weight-for-age) (%),12.9,13.5,13.3,13.8
Children under 5 years who are overweight (weight-for-height) (%),2.9,3.6,3.4,3.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.1,7.9,7.2,8.8
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.6,8.3,8.0,11.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),39.0,31.0,34.1,26.0
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),33.4,27.9,30.3,19.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),69.7,63.1,65.7,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),53.4,45.2,48.7,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),44.0,42.2,42.8,23.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),30.5,28.6,29.3,26.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),31.7,32.7,32.4,26.0
All women age 15-49 years who are anaemic (%),30.5,28.8,29.4,26.4
All women age 15-19 years who are anaemic (%),30.4,26.7,27.9,21.1
Men age 15-49 years who are anaemic (<13.0 g/dl)%),5.3,6.5,6.0,9.5
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(8.5),7.4,7.8,9.2
Women - Blood sugar level - high (141-160 mg/dl)(%),6.9,5.7,6.2,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.4,5.5,6.3,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.0,12.1,13.6,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.3,6.8,7.0,na
Men - Blood sugar level - very high (>160 mg/dl) (%),10.6,6.8,8.3,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),19.2,14.7,16.5,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),15.9,12.1,13.6,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.4,6.1,5.9,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.0,21.1,23.0,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),22.7,19.6,20.8,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),10.3,8.6,9.3,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),37.5,30.4,33.2,na
Women - Ever undergone a screening test for cervical cancer (%),2.5,1.9,2.1,na
Women - Ever undergone a breast examination for breast cancer (%),2.2,1.1,1.6,na
Women - Ever undergone an oral cavity examination for oral cancer (%),2.0,0.3,1.0,na
Men - Ever undergone an oral cavity examination for oral cancer (%),1.1,0.6,0.8,na
Women who have comprehensive knowledge of HIV/AIDS (%),54.8,47.5,50.6,40.7
Men who have comprehensive knowledge of HIV/AIDS(%),61.6,51.6,55.9,57.9
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),91.3,85.2,87.8,79.0
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),94.1,94.4,94.3,87.3
Currently married women who usually participate in three household decisions(%),94.4,95.0,94.8,96.2
Women who worked in the last 12 months and were paid in cash (%),39.5,44.0,42.1,40.9
Women owning a house and/or land (alone or jointly with others) (%),57.6,58.9,58.4,69.9
Women having a bank or savings account that they themselves use (%),78.6,70.7,74.0,34.8
Women having a mobile phone that they themselves use (%),77.8,68.2,72.2,63.1
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),88.6,79.8,82.9,76.1
Ever-married women age 18-49 years who have ever experienced spousal violence (%),35.0,42.8,39.6,53.2
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.6,3.8,2.9,3.4
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.9,0.0,0.3,1.0
Women age 15 years and above who use any kind of tobacco (%),37.7,46.6,43.1,na
Men age 15 years and above who use any kind of tobacco (%),51.4,62.4,58.1,na
Women age 15 years and above who consume alcohol (%),1.0,0.8,0.9,na
Men age 15 years and above who consume alcohol (%),34.6,39.2,37.5,na
