,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,*,6.1
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.1,89.8,91.0,na
49,Institutional births (%),96.4,96.7,96.5,88.5
50,Institutional births in public facility (%),60.4,82.9,71.9,60.0
51,Home births that were conducted by skilled health personnel (%),0.9,1.9,1.4,1.7
52,Births attended by skilled health personnel (%),97.0,98.5,97.8,86.1
53,Births delivered by caesarean section (%),29.9,16.1,22.9,16.1
54,Births in a private health facility that were delivered by caesarean section (%),44.5,37.3,42.5,33.2
55,Births in a public health facility that were delivered by caesarean section (%),23.0,13.3,17.3,11.1
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),90.0,100.0,94.9,50.5
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),91.9,94.8,93.4,66.4
58,Children age 12-23 months who have received BCG (%),96.2,100.0,98.1,87.4
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),92.4,100.0,96.1,63.3
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.5,100.0,97.2,73.5
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),92.6,100.0,96.2,80.9
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),35.2,53.7,44.2,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.7,1.5,3.7,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.0,97.5,93.1,54.8
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.0,86.3,86.2,67.2
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),94.8,100.0,97.3,85.0
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),5.2,0.0,2.7,15.0
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3,3.0,2.6,4.1
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*,*,(84.9)
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*,*,(12.9)
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,(86.2)
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,0.1,0.3,1.5
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),88.9,(94.8),90.7,77.5
74,Children under age 3 years breastfed within one hour of birth (%),19.4,31.8,25.9,50.0
75,Children under age 6 months exclusively breastfed (%),(64.8),(93.3),79.4,67.9
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*,(43.3),(19.6)
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.8,11.4,10.7,1.8
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*,(4.0),(2.9)
79,Total children age 6-23 months receiving an adequate diet  (%),9.0,11.3,10.2,2.1
80,Children under 5 years who are stunted (height-for-age) (%),32.9,45.7,39.4,37.2
81,Children under 5 years who are wasted (weight-for-height) (%),22.1,21.1,21.6,26.7
82,Children under 5 years who are severely wasted (weight-for-height) (%),5.1,3.5,4.3,11.5
83,Children under 5 years who are underweight (weight-for-age) (%),33.6,43.5,38.7,35.8
84,Children under 5 years who are overweight (weight-for-height) (%),1.2,2.5,1.9,3.9
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.7,29.0,25.1,23.4
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.2,17.5,18.3,16.3
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),34.0,20.3,26.8,23.3
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),27.6,16.0,21.4,26.3
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),46.2,44.7,45.4,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),45.7,18.4,31.1,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.0,76.8,75.8,82.0
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.4,64.5,62.6,73.4
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(61.1),(60.4),60.7,62.3
94,All women age 15-49 years who are anaemic (%),60.5,64.4,62.5,72.9
95,All women age 15-19 years who are anaemic (%),60.1,66.3,63.9,75.9
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),17.9,30.3,24.6,27.6
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(12.1),(60.0),37.0,36.1
98,Blood sugar level - high (141-160 mg/dl)(%),5.5,7.5,6.6,na
99,Blood sugar level - very high (>160 mg/dl)(%),7.3,4.8,5.9,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),14.0,13.3,13.6,na
101,Blood sugar level - high (141-160 mg/dl)(%),7.6,8.3,8.0,na
102,Blood sugar level - very high (>160 mg/dl) (%),8.5,6.9,7.7,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),17.2,15.7,16.4,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),8.9,6.7,7.7,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.3,4.5,4.0,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.5,13.6,14.9,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),11.9,7.8,9.8,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.1,4.3,3.7,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.0,13.9,15.4,na
110,Ever undergone a screening test for cervical cancer (%),0.9,0.0,0.4,na
111,Ever undergone a breast examination for breast cancer (%),0.5,0.0,0.2,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.5,0.0,0.3,na
113,Ever undergone an oral cavity examination for oral cancer (%),2.1,0.0,1.1,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),31.4,19.0,25.3,16.4
115,Men who have comprehensive knowledge of HIV/AIDS(%),35.2,21.5,28.1,11.3
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),75.8,51.7,63.8,45.6
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.3,77.1,79.1,47.1
118,Currently married women who usually participate in three household decisions(%),95.7,87.4,91.9,81.5
119,Women who worked in the last 12 months and were paid in cash (%),23.5,39.5,31.5,19.2
120,Women owning a house and/or land (alone or jointly with others) (%),51.9,59.7,55.8,23.8
121,Women having a bank or savings account that they themselves use (%),78.0,89.3,83.6,46.5
122,Women having a mobile phone that they themselves use (%),75.4,45.5,60.5,46.0
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),91.0,95.6,93.6,62.1
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),21.8,10.8,16.8,30.0
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,7.8,4.3,5.4
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,(0.0),0.0,2.5
127,Women age 15 years and above who use any kind of tobacco (%),2.4,3.3,2.9,na
128,Men age 15 years and above who use any kind of tobacco (%),39.6,37.5,38.6,na
129,Women age 15 years and above who consume alcohol (%),0.5,1.6,1.1,na
130,Men age 15 years and above who consume alcohol (%),29.1,26.5,27.8,na
