Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Health worker ever talked to female non-users about family planning (%),18.6,18.6,18.6,19.7
Current users ever told about side effects of current method (%),33.6,27.1,28.9,25.0
Mothers who had an antenatal check-up in the first trimester (%),82.7,81.3,81.7,82.3
Mothers who had at least 4 antenatal care visits (%),67.2,67.6,67.5,76.3
Mothers whose last birth was protected against neonatal tetanus (%),92.5,92.9,92.8,94.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.7,67.6,70.3,56.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.6,39.3,41.1,30.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.2,97.5,96.5,92.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2,90.1,90.7,79.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,659","3,248","3,105","2,322"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(14.2),17.2,9.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,92.1,92.3,na
Institutional births (%),98.6,95.7,96.5,91.5
Institutional births in public facility (%),41.8,53.7,50.4,38.3
Home births that were conducted by skilled health personnel (%),1.0,1.4,1.3,3.7
Births attended by skilled health personnel (%),98.3,95.2,96.1,92.1
Births delivered by caesarean section (%),50.5,39.3,42.4,40.1
Births in a private health facility that were delivered by caesarean section (%),66.1,61.4,63.0,57.0
Births in a public health facility that were delivered by caesarean section (%),30.9,25.2,26.6,25.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.3,74.7,73.0,65.3
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),89.1,87.5,88.0,79.9
Children age 12-23 months who have received BCG (%),92.4,95.6,94.6,97.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),70.6,76.9,75.0,72.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.8,89.9,88.4,89.0
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),83.7,88.6,87.1,89.4
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),27.1,31.3,30.0,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),72.0,77.0,75.5,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.0,86.4,85.3,68.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),81.7,79.7,80.3,79.3
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),86.4,97.4,94.2,91.6
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),11.5,1.3,4.3,8.4
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,7.6,7.2,6.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(64.2),61.9,62.5,47.6
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(32.8),44.7,41.8,30.1
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.6),73.3,74.3,72.7
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.0,2.5,2.4,0.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.2,70.6,70.2,77.3
Children under age 3 years breastfed within one hour of birth (%),51.6,52.2,52.0,40.0
Children under age 6 months exclusively breastfed (%),61.4,70.4,68.0,70.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(67.3),45.4,50.8,56.1
Breastfeeding children age 6-23 months receiving an adequate diet  (%),15.2,5.8,8.2,6.5
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),19.5,7.8,12.1,11.9
Total children age 6-23 months receiving an adequate diet  (%),16.7,6.3,9.3,7.6
Children under 5 years who are stunted (height-for-age) (%),23.1,34.2,31.2,31.4
Children under 5 years who are wasted (weight-for-height) (%),17.6,15.5,16.1,17.2
Children under 5 years who are severely wasted (weight-for-height) (%),6.4,5.8,6.0,4.5
Children under 5 years who are underweight (weight-for-age) (%),25.1,31.4,29.6,31.9
Children under 5 years who are overweight (weight-for-height) (%),3.0,2.6,2.7,1.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.9,16.2,14.8,17.6
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.0,17.2,16.5,14.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),44.4,32.6,36.3,33.2
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),37.7,28.0,31.1,33.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),52.7,47.2,48.9,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),53.8,52.6,53.0,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.7,65.0,63.2,58.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.8,59.5,59.0,60.2
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),56.2,52.7,53.7,52.9
All women age 15-49 years who are anaemic (%),57.8,59.3,58.8,60.0
All women age 15-19 years who are anaemic (%),62.3,59.1,60.1,61.1
Men age 15-49 years who are anaemic (<13.0 g/dl)%),13.8,17.3,16.2,27.0
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),12.8,21.4,18.7,29.3
Women - Blood sugar level - high (141-160 mg/dl)(%),7.8,7.0,7.3,na
Women - Blood sugar level - very high (>160 mg/dl)(%),13.2,9.2,10.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),23.2,17.9,19.5,na
Men - Blood sugar level - high (141-160 mg/dl)(%),9.2,8.1,8.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),13.7,10.4,11.4,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),24.9,20.5,21.8,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.4,13.2,13.6,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.2,5.8,5.9,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.5,24.3,25.3,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),19.2,16.9,17.6,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),7.4,6.9,7.1,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.2,27.6,29.0,na
Women - Ever undergone a screening test for cervical cancer (%),4.3,4.8,4.7,na
Women - Ever undergone a breast examination for breast cancer (%),0.7,0.8,0.8,na
Women - Ever undergone an oral cavity examination for oral cancer (%),8.3,6.8,7.3,na
Men - Ever undergone an oral cavity examination for oral cancer (%),7.3,5.9,6.3,na
Women who have comprehensive knowledge of HIV/AIDS (%),29.1,22.6,24.6,29.0
Men who have comprehensive knowledge of HIV/AIDS(%),47.1,34.7,38.6,55.5
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),70.8,59.7,63.0,57.5
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),88.4,80.0,82.6,83.4
Currently married women who usually participate in three household decisions(%),83.4,84.3,84.1,79.9
Women who worked in the last 12 months and were paid in cash (%),36.5,44.5,42.1,42.1
Women owning a house and/or land (alone or jointly with others) (%),41.4,50.6,47.8,44.7
Women having a bank or savings account that they themselves use (%),86.7,79.6,81.8,66.3
Women having a mobile phone that they themselves use (%),67.4,40.9,48.9,36.2
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),90.6,82.5,85.1,67.5
Ever-married women age 18-49 years who have ever experienced spousal violence (%),28.8,30.5,30.0,43.4
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.5,3.9,3.8,4.9
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,1.1,0.8,0.9
Women age 15 years and above who use any kind of tobacco (%),1.9,4.7,3.8,na
Men age 15 years and above who use any kind of tobacco (%),15.8,25.6,22.6,na
Women age 15 years and above who consume alcohol (%),0.3,0.6,0.5,na
Men age 15 years and above who consume alcohol (%),20.5,24.5,23.3,na
