,Indicator,NFHS-5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),35.9
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(19.1)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),14.6
72,Children under 5 years who are stunted (height-for-age) (%),28.8
73,Children under 5 years who are wasted (weight-for-height) (%),9.4
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.7
75,Children under 5 years who are underweight (weight-for-age) (%),14.5
76,Children under 5 years who are overweight (weight-for-height) (%),20.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),80.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.0
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),24.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(2.0)
83,All women age 15-49 years who are anaemic (%),22.6
84,All women age 15-19 years who are anaemic (%),37.2
85,Blood sugar level - high (141-160 mg/dl)(%),2.7
86,Blood sugar level - very high (>160 mg/dl)(%),0.9
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),4.1
88,Blood sugar level - high (141-160 mg/dl)(%),5.2
89,Blood sugar level - very high (>160 mg/dl) (%),0.5
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),5.7
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6
93,pressure (%),19.4
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.7
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5
96,pressure (%),26.1
97,Ever undergone a screening test for cervical cancer (%),0.0
98,Ever undergone a breast examination for breast cancer (%),0.3
99,Ever undergone an oral cavity examination for oral cancer (%),0.6
100,Women age 15 years and above who use any kind of tobacco (%),9.9
101,Men age 15 years and above who use any kind of tobacco (%),25.0
102,Women age 15 years and above who consume alcohol (%),11.5
103,Men age 15 years and above who consume alcohol (%),34.8
