,Indicator,NFHS-5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),59.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),54.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(85.8)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),0.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),58.0
67,Children under age 6 months exclusively breastfed (%),(66.1)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),22.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),20.0
72,Children under 5 years who are stunted (height-for-age) (%),15.8
73,Children under 5 years who are wasted (weight-for-height) (%),20.6
74,Children under 5 years who are severely wasted (weight-for-height) (%),14.2
75,Children under 5 years who are underweight (weight-for-age) (%),13.8
76,Children under 5 years who are overweight (weight-for-height) (%),4.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),4.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),13.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),62.0
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),38.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),35.0
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),19.1
83,All women age 15-49 years who are anaemic (%),34.1
84,All women age 15-19 years who are anaemic (%),37.7
85,Blood sugar level - high (141-160 mg/dl)(%),5.3
86,Blood sugar level - very high (>160 mg/dl)(%),4.9
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.5
88,Blood sugar level - high (141-160 mg/dl)(%),7.3
89,Blood sugar level - very high (>160 mg/dl) (%),6.7
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.5
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.1
93,pressure (%),20.5
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),22.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.3
96,pressure (%),31.1
97,Ever undergone a screening test for cervical cancer (%),0.0
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),16.0
101,Men age 15 years and above who use any kind of tobacco (%),56.1
102,Women age 15 years and above who consume alcohol (%),21.8
103,Men age 15 years and above who consume alcohol (%),55.2
