,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
50,Institutional births in public facility (%),41.5,33.7,35.8,25.1
51,Home births that were conducted by skilled health personnel (%),11.6,9.9,10.4,8.8
52,Births attended by skilled health personnel (%),75.4,48.2,55.3,41.3
53,Births delivered by caesarean section (%),9.8,3.6,5.2,5.8
54,Births in a private health facility that were delivered by caesarean section (%),19.7,30.1,23.6,31.5
55,Births in a public health facility that were delivered by caesarean section (%),12.5,6.1,8.0,13.4
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),68.9,53.7,57.9,35.4
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),77.0,68.8,71.3,61.9
58,Children age 12-23 months who have received BCG (%),88.8,84.3,85.5,68.1
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.0,63.0,65.4,52.1
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.6,68.1,71.5,51.6
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),83.6,70.1,73.8,50.1
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),25.2,18.7,20.5,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),11.4,4.6,6.5,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.5,62.6,66.4,45.3
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.1,41.4,45.6,30.6
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),89.2,94.8,93.2,91.6
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),10.0,1.8,4.1,7.9
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.5,4.1,3.4,5.1
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,54.4,54.5,40.3
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,6.5,9.1,16.0
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,29.2,31.5,21.8
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.0,1.1,1.1,1.4
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),46.0,24.4,30.9,31.3
74,Children under age 3 years breastfed within one hour of birth (%),54.3,59.2,57.9,53.1
75,Children under age 6 months exclusively breastfed (%),(43.2),43.2,43.2,44.3
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(67.6),70.0,69.4,70.7
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.8,13.4,12.6,17.5
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),23.5,15.4,18.0,21.9
79,Total children age 6-23 months receiving an adequate diet  (%),15.8,14.1,14.5,18.8
80,Children under 5 years who are stunted (height-for-age) (%),27.1,34.7,32.7,28.6
81,Children under 5 years who are wasted (weight-for-height) (%),21.7,18.2,19.1,11.3
82,Children under 5 years who are severely wasted (weight-for-height) (%),11.0,6.8,7.9,4.2
83,Children under 5 years who are underweight (weight-for-age) (%),24.5,27.7,26.9,16.7
84,Children under 5 years who are overweight (weight-for-height) (%),4.8,4.9,4.9,3.8
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.6,10.8,11.1,12.3
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),7.4,7.5,7.5,11.5
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),17.1,13.0,14.4,16.2
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),31.0,19.8,23.9,13.9
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),59.6,63.4,62.0,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),32.7,27.5,29.4,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),46.4,41.4,42.7,26.4
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),27.5,30.3,29.3,27.7
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),22.3,22.1,22.2,32.7
94,All women age 15-49 years who are anaemic (%),27.3,29.8,28.9,27.9
95,All women age 15-19 years who are anaemic (%),34.0,33.9,33.9,26.3
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),10.8,9.5,10.0,11.7
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(15.5),21.6,19.6,12.2
98,Blood sugar level - high (141-160 mg/dl)(%),5.3,5.2,5.2,na
99,Blood sugar level - very high (>160 mg/dl)(%),3.8,3.7,3.8,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),9.3,9.2,9.3,na
101,Blood sugar level - high (141-160 mg/dl)(%),5.9,6.9,6.6,na
102,Blood sugar level - very high (>160 mg/dl) (%),6.9,4.7,5.5,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),13.4,11.9,12.4,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.0,14.7,13.8,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.8,7.9,7.6,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.9,23.6,22.4,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),16.7,20.3,19.1,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),8.0,9.3,8.9,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.0,30.1,28.7,na
110,Ever undergone a screening test for cervical cancer (%),0.3,0.3,0.3,na
111,Ever undergone a breast examination for breast cancer (%),0.4,0.2,0.3,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.6,0.3,0.4,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.1,0.3,0.2,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),25.5,25.7,25.6,12.5
115,Men who have comprehensive knowledge of HIV/AIDS(%),30.7,45.6,40.1,24.1
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),62.9,60.5,61.4,39.9
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),56.1,75.8,68.5,63.6
118,Currently married women who usually participate in three household decisions(%),98.1,99.8,99.2,97.4
119,Women who worked in the last 12 months and were paid in cash (%),28.6,20.7,23.6,22.7
120,Women owning a house and/or land (alone or jointly with others) (%),23.4,28.9,26.9,35.2
121,Women having a bank or savings account that they themselves use (%),77.9,55.4,63.7,38.8
122,Women having a mobile phone that they themselves use (%),93.0,76.3,82.5,70.4
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),87.1,76.6,80.2,72.4
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),5.2,7.0,6.4,13.1
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,0.6,0.4,1.5
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.0,0.0,0.6
127,Women age 15 years and above who use any kind of tobacco (%),16.0,12.6,13.7,na
128,Men age 15 years and above who use any kind of tobacco (%),47.4,48.9,48.4,na
129,Women age 15 years and above who consume alcohol (%),1.5,0.7,0.9,na
130,Men age 15 years and above who consume alcohol (%),26.8,22.5,24.0,na
