Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Institutional births in public facility (%),47.3,58.8,56.8,41.8
Home births that were conducted by skilled health personnel (%),4.2,9.3,8.4,8.0
Births attended by skilled health personnel (%),92.6,80.5,82.5,69.6
Births delivered by caesarean section (%),25.8,10.2,12.8,9.9
Births in a private health facility that were delivered by caesarean section (%),47.7,46.1,46.7,39.5
Births in a public health facility that were delivered by caesarean section (%),12.4,6.1,7.0,4.6
Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),67.8,75.1,73.9,61.9
Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),74.6,80.1,79.2,72.7
Children age 12-23 months who have received BCG (%),93.0,95.4,95.0,95.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),71.2,77.8,76.8,73.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.8,86.7,85.6,82.4
Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),81.0,87.8,86.7,82.6
Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),29.7,32.8,32.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),65.2,76.4,74.6,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.6,85.2,84.4,56.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.5,70.6,70.9,56.6
Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),89.1,98.0,96.5,95.3
Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),10.9,1.4,2.9,4.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.5,7.3,7.2,6.9
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),55.2,55.7,55.6,44.8
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),42.2,26.4,28.9,19.1
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),66.9,58.3,59.7,56.7
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),1.6,2.2,2.1,3.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),68.4,58.2,59.8,67.2
Children under age 3 years breastfed within one hour of birth (%),22.5,21.3,21.5,33.1
Children under age 6 months exclusively breastfed (%),61.6,78.6,76.1,64.8
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),33.5,39.9,38.8,47.2
Breastfeeding children age 6-23 months receiving an adequate diet (%),10.6,9.9,10.0,7.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(7.3),18.6,16.3,7.1
Total children age 6-23 months receiving an adequate diet (%),10.3,10.5,10.5,7.2
Children under 5 years who are stunted (height-for-age) (%),26.8,42.3,39.6,45.3
Children under 5 years who are wasted (weight-for-height) (%),23.0,22.3,22.4,29.0
Children under 5 years who are severely wasted (weight-for-height) (%),10.7,8.8,9.1,11.4
Children under 5 years who are underweight (weight-for-age) (%),30.0,41.4,39.4,47.8
Children under 5 years who are overweight (weight-for-height) (%),2.8,2.8,2.8,1.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.3,29.2,26.2,31.5
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.1,18.9,17.1,23.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),21.6,8.6,11.9,10.3
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),21.7,12.8,15.1,11.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),66.4,56.2,58.7,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),53.6,44.0,46.5,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.5,67.9,67.5,69.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.6,67.0,65.7,65.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),45.5,59.2,56.8,62.6
All women age 15-49 years who are anaemic (%),61.1,66.7,65.3,65.2
All women age 15-19 years who are anaemic (%),63.2,66.5,65.8,65.0
Men age 15-49 years who are anaemic (<13.0 g/dl)%),27.1,30.5,29.6,29.8
Women - Men age 15-19 years who are anaemic (<13.0 g/dl)(%),39.0,39.9,39.7,35.3
Women - Blood sugar level - high (141-160 mg/dl)(%),5.8,5.2,5.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.6,3.7,4.2,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.5,9.5,10.2,na
Men - Blood sugar level - high (141-160 mg/dl)(%),6.9,6.9,6.9,na
Men - Blood sugar level - very high (>160 mg/dl) (%),7.9,5.9,6.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.8,13.4,14.1,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.0,10.5,11.1,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.7,5.1,5.0,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.1,17.0,17.8,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.3,14.6,15.1,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.5,6.0,6.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.3,21.6,22.6,na
Women - Ever undergone a screening test for cervical cancer (%),0.4,0.5,0.5,na
Women - Ever undergone a breast examination for breast cancer (%),0.1,0.1,0.1,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.2,0.2,0.2,na
Ever undergone an oral cavity examination for oral cancer (%),0.1,0.5,0.4,na
Women who have comprehensive knowledge of HIV/AIDS (%),21.7,11.2,13.8,15.8
Men who have comprehensive knowledge of HIV/AIDS(%),39.4,28.1,31.2,18.0
Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),76.1,62.5,65.9,45.5
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.7,76.8,80.6,67.8
Currently married women who usually participate in three household decisions(%),94.6,89.8,91.0,86.6
Women who worked in the last 12 months and were paid in cash (%),18.8,17.7,18.0,24.8
Women owning a house and/or land (alone or jointly with others) (%),57.4,66.5,64.2,49.7
Women having a bank or savings account that they themselves use (%),79.2,79.8,79.6,45.1
Women having a mobile phone that they themselves use (%),65.2,43.7,49.0,35.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.2,70.8,74.9,49.6
Ever-married women age 18-49 years who have ever experienced spousal violence (%),25.3,33.4,31.5,34.0
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,3.4,3.1,2.8
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.5,1.5,1.3,2.1
Women age 15 years and above who use any kind of tobacco (%),4.8,9.6,8.4,na
Men age 15 years and above who use any kind of tobacco (%),37.2,51.0,47.4,na
Women age 15 years and above who consume alcohol (%),2.0,7.4,6.1,na
Men age 15 years and above who consume alcohol (%),24.6,38.7,35.0,na
