Indicator,NFHS-5
Children under 5 years who are wasted (weight-for-height) (%),16.9
Children under 5 years who are severely wasted (weight-for-height) (%),10.1
Children under 5 years who are underweight (weight-for-age) (%),27.7
Children under 5 years who are overweight (weight-for-height) (%),3.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.9
Women who have high risk waist-to-hip ratio (≥0.85) (%),65.7
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),57.1
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.0
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(41.2)
All women age 15-49 years who are anaemic (%),51.7
All women age 15-19 years who are anaemic (%),61.8
Women - Blood sugar level - high (141-160 mg/dl)(%),6.1
Women - Blood sugar level - very high (>160 mg/dl)(%),3.7
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.2
Men - Blood sugar level - high (141-160 mg/dl)(%),6.6
Men - Blood sugar level - very high (>160 mg/dl) (%),4.4
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.2
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.1
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),22.6
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.5
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),26.5
Ever undergone a screening test for cervical cancer (%),0.5
Ever undergone a breast examination for breast cancer (%),0.4
Ever undergone an oral cavity examination for oral cancer (%),0.8
Women age 15 years and above who use any kind of tobacco (%),7.2
Men age 15 years and above who use any kind of tobacco (%),36.6
Women age 15 years and above who consume alcohol (%),0.9
Men age 15 years and above who consume alcohol (%),32.0
