Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Women who have high risk waist-to-hip ratio (≥0.85) (%),64.5,52.5,55.4,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),47.9,43.2,44.3,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.1,66.2,67.2,41.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.1,62.5,61.2,47.3
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),38.8,54.7,51.8,41.5
All women age 15-49 years who are anaemic (%),56.5,62.2,60.8,47.0
All women age 15-19 years who are anaemic (%),62.2,61.2,61.4,45.5
Men age 15-49 years who are anaemic (<13.0 g/dl)%),20.8,28.9,27.0,22.1
Women - Men age 15-19 years who are anaemic (<13.0 g/dl)(%),22.5,34.4,31.5,27.4
Women - Blood sugar level - high (141-160 mg/dl)(%),5.4,4.3,4.5,na
Women - Blood sugar level - very high (>160 mg/dl)(%),5.4,3.3,3.8,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.1,8.1,9.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),6.5,5.1,5.4,na
Men - Blood sugar level - very high (>160 mg/dl) (%),4.8,4.2,4.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,10.3,10.8,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.6,14.9,14.8,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.7,7.1,6.8,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.5,23.6,23.6,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.5,18.9,19.0,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.3,7.8,7.5,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.8,27.7,27.7,na
Women - Ever undergone a screening test for cervical cancer (%),0.4,0.3,0.3,na
Women - Ever undergone a breast examination for breast cancer (%),0.4,0.1,0.2,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.4,0.2,0.2,na
Ever undergone an oral cavity examination for oral cancer (%),1.4,1.1,1.2,na
Women who have comprehensive knowledge of HIV/AIDS (%),23.9,22.8,23.1,20.7
Men who have comprehensive knowledge of HIV/AIDS(%),37.4,28.7,30.7,35.8
Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),86.3,72.1,75.6,57.5
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.2,83.3,84.9,82.9
Currently married women who usually participate in three household decisions(%),96.5,91.6,92.7,90.5
Women who worked in the last 12 months and were paid in cash (%),28.4,42.6,39.1,36.8
Women owning a house and/or land (alone or jointly with others) (%),46.1,45.5,45.6,26.4
Women having a bank or savings account that they themselves use (%),77.9,81.1,80.3,51.3
Women having a mobile phone that they themselves use (%),61.2,34.0,40.7,31.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),83.2,64.8,68.8,47.1
Ever-married women age 18-49 years who have ever experienced spousal violence (%),14.0,22.2,20.2,36.8
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.2,0.9,0.9,4.9
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.5,0.9,0.8,1.7
Women age 15 years and above who use any kind of tobacco (%),9.4,19.6,17.3,na
Men age 15 years and above who use any kind of tobacco (%),33.4,46.0,43.1,na
Women age 15 years and above who consume alcohol (%),1.3,6.1,5.0,na
Men age 15 years and above who consume alcohol (%),28.6,36.7,34.8,na
