,Indicator,NFHS-5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),73.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),35.7
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.9
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.3
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),52.8
66,Children under age 3 years breastfed within one hour of birth (%),42.0
67,Children under age 6 months exclusively breastfed (%),(70.6)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),10.6
72,Children under 5 years who are stunted (height-for-age) (%),48.1
73,Children under 5 years who are wasted (weight-for-height) (%),20.4
74,Children under 5 years who are severely wasted (weight-for-height) (%),9.1
75,Children under 5 years who are underweight (weight-for-age) (%),45.2
76,Children under 5 years who are overweight (weight-for-height) (%),5.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),34.9
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),8.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),59.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),80.7
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),77.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(79.0)
83,All women age 15-49 years who are anaemic (%),77.2
84,All women age 15-19 years who are anaemic (%),80.3
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.6
86,Women - Blood sugar level - very high (>160 mg/dl)(%),3.0
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0
88,Men - Blood sugar level - high (141-160 mg/dl)(%),4.7
89,Men - Blood sugar level - very high (>160 mg/dl) (%),4.8
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.4
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.1
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),23.7
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.7
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),24.1
97,Ever undergone a screening test for cervical cancer (%),0.9
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),1.0
100,Women age 15 years and above who use any kind of tobacco (%),36.4
101,Men age 15 years and above who use any kind of tobacco (%),55.8
102,Women age 15 years and above who consume alcohol (%),18.5
103,Men age 15 years and above who consume alcohol (%),41.4
