,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),88.3,88.3,88.3,72.7
58,Children age 12-23 months who have received BCG (%),96.6,97.5,97.2,92.5
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),82.5,90.5,87.6,74.6
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.3,92.5,92.1,77.9
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),89.0,92.5,91.2,82.4
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),34.4,32.9,33.4,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.6,4.9,5.9,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.6,90.1,88.8,58.9
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.7,86.0,86.2,82.4
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),81.9,97.4,91.7,88.2
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),18.0,2.0,7.9,11.4
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.6,5.6,5.3,4.5
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),79.1,67.5,71.3,52.8
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),47.2,44.7,45.5,34.3
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),74.4,72.9,73.4,69.7
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2,1.7,1.5,1.2
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),60.8,67.8,65.7,76.9
74,Children under age 3 years breastfed within one hour of birth (%),51.8,47.5,49.1,56.3
75,Children under age 6 months exclusively breastfed (%),56.7,63.0,61.0,54.2
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),50.4,43.6,45.8,46.0
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.0,12.1,11.0,5.8
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),19.6,19.4,19.5,14.4
79,Total children age 6-23 months receiving an adequate diet  (%),11.4,13.7,12.8,8.2
80,Children under 5 years who are stunted (height-for-age) (%),32.2,37.2,35.4,36.2
81,Children under 5 years who are wasted (weight-for-height) (%),18.5,20.1,19.5,26.1
82,Children under 5 years who are severely wasted (weight-for-height) (%),8.6,8.3,8.4,10.5
83,Children under 5 years who are underweight (weight-for-age) (%),29.4,34.9,32.9,35.2
84,Children under 5 years who are overweight (weight-for-height) (%),3.8,2.9,3.2,2.6
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.9,19.9,17.2,20.7
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.5,16.2,14.3,16.5
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),37.1,25.6,30.1,23.3
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),39.4,25.0,30.9,22.1
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),46.8,43.9,45.1,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),41.2,37.4,38.9,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.8,67.1,65.5,60.9
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),44.1,50.3,47.8,44.8
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),37.3,50.6,45.7,45.4
94,All women age 15-49 years who are anaemic (%),43.9,50.3,47.8,44.8
95,All women age 15-19 years who are anaemic (%),48.0,50.2,49.4,45.3
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),17.3,21.2,19.6,18.3
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),26.4,26.5,26.5,24.5
98,Women - Blood sugar level - high (141-160 mg/dl)(%),6.4,5.3,5.7,na
99,Women - Blood sugar level - very high (>160 mg/dl)(%),8.0,6.1,6.8,na
100,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.2,12.6,14.0,na
101,Men - Blood sugar level - high (141-160 mg/dl)(%),7.7,6.0,6.6,na
102,Men - Blood sugar level - very high (>160 mg/dl) (%),8.6,7.0,7.6,na
103,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),18.0,14.1,15.6,na
104,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),16.3,13.8,14.8,na
105,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.1,6.2,6.2,na
106,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.4,23.4,25.0,na
107,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),18.5,16.5,17.2,na
108,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.8,6.6,6.7,na
109,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.2,25.5,26.9,na
110,Women - Ever undergone a screening test for cervical cancer (%),0.6,0.5,0.5,na
111,Women - Ever undergone a breast examination for breast cancer (%),0.4,0.3,0.4,na
112,Women - Ever undergone an oral cavity examination for oral cancer (%),0.5,0.4,0.5,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),0.3,0.4,0.3,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),30.0,20.8,24.5,9.5
115,Men who have comprehensive knowledge of HIV/AIDS(%),28.0,25.6,26.6,26.4
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),84.2,76.1,79.4,50.0
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),88.6,87.3,87.8,65.9
118,Currently married women who usually participate in three household decisions(%),86.2,80.5,82.7,80.4
119,Women who worked in the last 12 months and were paid in cash (%),30.5,41.4,37.0,29.1
120,Women owning a house and/or land (alone or jointly with others) (%),64.5,69.7,67.6,51.8
121,Women having a bank or savings account that they themselves use (%),90.2,87.7,88.7,59.4
122,Women having a mobile phone that they themselves use (%),74.2,53.4,61.8,47.1
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),90.9,79.8,84.2,70.3
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),44.5,44.4,44.4,20.6
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),4.9,6.4,5.8,6.5
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),2.1,1.9,2.0,0.9
127,Women age 15 years and above who use any kind of tobacco (%),4.6,11.1,8.5,na
128,Men age 15 years and above who use any kind of tobacco (%),21.5,30.8,27.1,na
129,Women age 15 years and above who consume alcohol (%),0.9,1.0,0.9,na
130,Men age 15 years and above who consume alcohol (%),15.3,17.4,16.5,na
