Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),83.4,97.4,92.1,87.1
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),16.4,2.3,7.6,12.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,9.7,8.2,8.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),69.8,65.4,66.5,46.2
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.7,36.8,35.4,17.4
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.5,69.3,69.6,65.4
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9,1.1,1.0,1.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.0,74.8,75.2,70.2
Children under age 3 years breastfed within one hour of birth (%),34.4,39.9,37.8,49.9
Children under age 6 months exclusively breastfed (%),70.3,62.4,65.0,55.8
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),40.8,42.6,42.0,49.4
Breastfeeding children age 6-23 months receiving an adequate diet  (%),6.5,5.6,5.9,5.8
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),7.2,5.1,6.0,2.8
Total children age 6-23 months receiving an adequate diet  (%),6.6,5.5,5.9,5.2
Children under 5 years who are stunted (height-for-age) (%),32.4,43.0,39.0,38.5
Children under 5 years who are wasted (weight-for-height) (%),22.4,26.7,25.1,26.4
Children under 5 years who are severely wasted (weight-for-height) (%),9.7,11.1,10.6,9.5
Children under 5 years who are underweight (weight-for-age) (%),33.3,43.5,39.7,39.3
Children under 5 years who are overweight (weight-for-height) (%),4.6,3.5,3.9,1.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.2,30.9,25.2,27.2
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.0,24.7,20.9,24.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.4,17.0,22.6,23.7
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),25.6,15.6,19.9,19.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),47.2,41.2,43.7,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),43.3,39.0,40.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),77.6,81.2,79.7,62.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.4,67.7,65.1,55.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),55.6,66.4,62.6,51.3
All women age 15-49 years who are anaemic (%),61.3,67.6,65.0,54.9
All women age 15-19 years who are anaemic (%),63.0,72.3,69.0,56.5
Men age 15-49 years who are anaemic (<13.0 g/dl)%),23.3,29.1,26.6,21.6
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),31.5,39.2,36.0,31.9
Women - Blood sugar level - high (141-160 mg/dl)(%),8.4,7.9,8.1,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.6,6.1,6.7,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),17.6,14.6,15.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),9.5,8.5,9.0,na
Men - Blood sugar level - very high (>160 mg/dl) (%),7.3,6.9,7.1,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),17.8,16.2,16.9,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),11.4,12.0,11.7,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.8,5.1,4.6,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.1,20.1,20.6,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.7,13.3,13.1,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.9,4.8,4.4,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.3,20.3,20.3,na
Women - Ever undergone a screening test for cervical cancer (%),0.3,0.2,0.2,na
Women - Ever undergone a breast examination for breast cancer (%),0.1,0.1,0.1,na
Women - Ever undergone an oral cavity examination for oral cancer (%),0.2,0.2,0.2,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.5,0.9,0.7,na
Women who have comprehensive knowledge of HIV/AIDS (%),36.3,22.8,28.5,18.4
Men who have comprehensive knowledge of HIV/AIDS(%),40.7,31.9,35.7,31.5
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),79.1,57.6,66.7,43.2
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.1,77.5,82.5,68.6
Currently married women who usually participate in three household decisions(%),94.4,90.7,92.2,85.4
Women who worked in the last 12 months and were paid in cash (%),26.4,34.1,30.8,30.2
Women owning a house and/or land (alone or jointly with others) (%),41.6,43.3,42.6,27.2
Women having a bank or savings account that they themselves use (%),73.5,67.5,70.0,48.6
Women having a mobile phone that they themselves use (%),66.0,36.2,48.8,47.9
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),77.6,58.6,65.8,60.3
Ever-married women age 18-49 years who have ever experienced spousal violence (%),10.0,16.8,14.0,20.2
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,1.2,1.6,1.9
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.2,1.3,0.8,0.5
Women age 15 years and above who use any kind of tobacco (%),5.4,11.0,8.7,na
Men age 15 years and above who use any kind of tobacco (%),33.6,46.7,41.1,na
Women age 15 years and above who consume alcohol (%),0.3,0.8,0.6,na
Men age 15 years and above who consume alcohol (%),4.6,6.8,5.8,na
