Indicator,NFHS-5
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),62.3
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.4
Children under age 3 years breastfed within one hour of birth (%),33.0
Children under age 6 months exclusively breastfed (%),(51.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),10.1
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),9.4
Children under 5 years who are stunted (height-for-age) (%),47.1
Children under 5 years who are wasted (weight-for-height) (%),29.0
Children under 5 years who are severely wasted (weight-for-height) (%),9.3
Children under 5 years who are underweight (weight-for-age) (%),47.2
Children under 5 years who are overweight (weight-for-height) (%),3.3
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),34.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),18.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),42.2
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),89.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),77.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(82.6)
All women age 15-49 years who are anaemic (%),77.3
All women age 15-19 years who are anaemic (%),87.7
Women - Blood sugar level - high (141-160 mg/dl)(%),6.7
Women - Blood sugar level - very high (>160 mg/dl)(%),5.2
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.4
Men - Blood sugar level - high (141-160 mg/dl)(%),7.9
Men - Blood sugar level - very high (>160 mg/dl) (%),6.6
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.1
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.9
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.0
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.3
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.9
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.0
  Ever undergone a screening test for cervical cancer (%),0.7
  Ever undergone a breast examination for breast cancer (%),0.5
Ever undergone an oral cavity examination for oral cancer (%),0.3
Women age 15 years and above who use any kind of tobacco (%),9.6
Men age 15 years and above who use any kind of tobacco (%),45.8
Women age 15 years and above who consume alcohol (%),0.3
Men age 15 years and above who consume alcohol (%),5.2
