Indicator,NFHS-5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),73.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.0
Children age 12-23 months who have received BCG (%),92.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),81.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),80.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),28.1
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),77.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(69.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(23.0)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.4)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.1)
Children under age 3 years breastfed within one hour of birth (%),55.8
Children under age 6 months exclusively breastfed (%),(67.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),5.8
Children under 5 years who are stunted (height-for-age) (%),30.2
Children under 5 years who are wasted (weight-for-height) (%),26.1
Children under 5 years who are severely wasted (weight-for-height) (%),17.2
Children under 5 years who are underweight (weight-for-age) (%),36.2
Children under 5 years who are overweight (weight-for-height) (%),4.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),22.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),24.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),50.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),66.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(49.1)
All women age 15-49 years who are anaemic (%),48.8
All women age 15-19 years who are anaemic (%),50.9
Women - Blood sugar level - high (141-160 mg/dl)(%),6.4
Women - Blood sugar level - very high (>160 mg/dl)(%),4.7
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.5
Men - Blood sugar level - high (141-160 mg/dl)(%),6.5
Men - Blood sugar level - very high (>160 mg/dl) (%),5.8
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.5
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.7
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.4
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),18.1
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.0
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.3
  Ever undergone a screening test for cervical cancer (%),0.4
  Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.0
Women age 15 years and above who use any kind of tobacco (%),24.2
Men age 15 years and above who use any kind of tobacco (%),60.6
Women age 15 years and above who consume alcohol (%),0.5
Men age 15 years and above who consume alcohol (%),2.6
