Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Children under 5 years who are wasted (weight-for-height) (%),17.4,11.3,13.2,19.5
Children under 5 years who are severely wasted (weight-for-height) (%),4.7,4.7,4.7,9.0
Children under 5 years who are underweight (weight-for-age) (%),21.0,20.9,21.0,26.6
Children under 5 years who are overweight (weight-for-height) (%),4.4,3.9,4.1,3.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.6,14.9,13.9,18.4
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.7,14.1,16.2,16.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),39.1,25.4,29.7,20.4
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),31.4,25.0,27.1,17.7
Women who have high risk waist-to-hip ratio (≥0.85) (%),62.8,63.0,62.9,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),60.4,53.9,56.0,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.8,56.6,58.8,59.8
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),45.6,41.0,42.4,45.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),51.9,44.3,46.4,46.5
All women age 15-49 years who are anaemic (%),45.8,41.1,42.6,45.2
All women age 15-19 years who are anaemic (%),41.0,40.9,40.9,46.4
Men age 15-49 years who are anaemic (<13.0 g/dl)%),14.2,15.6,15.1,15.6
Women - Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(31.2),26.3,27.6,22.2
Women - Blood sugar level - high (141-160 mg/dl)(%),4.4,4.1,4.2,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.6,4.8,5.6,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.0,9.6,10.8,na
Men - Blood sugar level - high (141-160 mg/dl)(%),5.4,5.7,5.6,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.7,6.6,7.6,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.3,13.3,14.3,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.3,13.4,13.7,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.1,6.3,6.3,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.4,22.0,22.9,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.2,19.6,20.1,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),10.2,9.2,9.5,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),34.8,30.5,31.8,na
Women - Ever undergone a screening test for cervical cancer (%),0.9,0.2,0.4,na
Women - Ever undergone a breast examination for breast cancer (%),0.2,0.2,0.2,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.0,0.5,0.3,na
Ever undergone an oral cavity examination for oral cancer (%),0.0,0.5,0.4,na
Women who have comprehensive knowledge of HIV/AIDS (%),33.6,20.6,24.5,28.6
Men who have comprehensive knowledge of HIV/AIDS(%),42.1,33.3,36.1,36.5
Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),80.4,71.0,73.8,65.3
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),91.4,91.6,91.5,83.4
Currently married women who usually participate in three household decisions(%),91.8,90.6,91.0,89.8
Women who worked in the last 12 months and were paid in cash (%),20.2,22.2,21.6,15.5
Women owning a house and/or land (alone or jointly with others) (%),23.3,25.1,24.6,29.2
Women having a bank or savings account that they themselves use (%),81.3,79.8,80.2,58.5
Women having a mobile phone that they themselves use (%),73.1,55.7,60.9,55.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.5,89.7,91.2,69.9
Ever-married women age 18-49 years who have ever experienced spousal violence (%),12.5,16.2,15.1,12.7
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.4,2.0,2.1,1.4
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.4,0.3,0.1
Women age 15 years and above who use any kind of tobacco (%),2.8,5.4,4.6,na
Men age 15 years and above who use any kind of tobacco (%),27.6,36.8,33.7,na
Women age 15 years and above who consume alcohol (%),0.3,0.4,0.3,na
Men age 15 years and above who consume alcohol (%),21.7,27.5,25.5,na
