,Indicator,NFHS_5,NFHS_4
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*,(96.9)
62,Children age 12-23 months who have received BCG (%),(89.5),(100.0)
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(89.5),(92.3)
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.5),(97.4)
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(86.4),(100.0)
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(33.1),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(83.8),(90.0)
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.4,83.5
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),*,(100.0)
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),*,(0.0)
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,0.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,0.0
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
81,Children under age 3 years breastfed within one hour of birth (%),28.2,75.4
82,Children under age 6 months exclusively breastfed (%),*,*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(19.4),21.3
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),(20.7),22.2
87,Children under 5 years who are stunted (height-for-age) (%),24.8,32.8
88,Children under 5 years who are wasted (weight-for-height) (%),8.0,18.5
89,Children under 5 years who are severely wasted (weight-for-height) (%),4.0,7.9
90,Children under 5 years who are underweight (weight-for-age) (%),7.2,20.5
91,Children under 5 years who are overweight (weight-for-height) (%),16.6,12.1
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),4.6,4.4
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),34.8,22.3
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),84.8,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),56.5,61.6
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),39.9,32.3
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(16.2)
100,All women age 15-49 years who are anaemic (%),39.8,31.9
101,All women age 15-19 years who are anaemic (%),54.6,45.5
104,Women - Blood sugar level - high (141-160 mg/dl)(%),6.6,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.0,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.5,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),9.1,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),6.0,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.6,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.6,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),15.8,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),41.0,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),29.7,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),16.1,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),49.6,na
123,Ever undergone a screening test for cervical cancer (%),1.6,na
124,Ever undergone a breast examination for breast cancer (%),0.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),15.8,na
128,Men age 15 years and above who use any kind of tobacco (%),47.4,na
129,Women age 15 years and above who consume alcohol (%),15.0,na
130,Men age 15 years and above who consume alcohol (%),38.1,na
