,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.9,5.5,5.3,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.5,19.9,20.5,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.5,12.3,13.1,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.2,4.2,4.2,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.3,19.0,20.1,na
110,Ever undergone a screening test for cervical cancer (%),0.1,0.2,0.2,na
111,Ever undergone a breast examination for breast cancer (%),0.2,0.1,0.2,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.2,0.1,0.2,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.4,0.8,0.7,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),30.8,12.3,18.5,18.6
115,Men who have comprehensive knowledge of HIV/AIDS(%),21.3,12.8,15.5,25.9
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),73.3,53.8,60.4,53.9
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),81.8,68.4,72.7,82.6
118,Currently married women who usually participate in three household decisions(%),96.1,85.8,88.9,89.9
119,Women who worked in the last 12 months and were paid in cash (%),20.2,20.2,20.2,22.8
120,Women owning a house and/or land (alone or jointly with others) (%),24.7,22.5,23.2,23.8
121,Women having a bank or savings account that they themselves use (%),82.9,73.2,76.5,43.5
122,Women having a mobile phone that they themselves use (%),71.9,39.1,50.1,41.8
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),91.2,79.7,83.0,54.9
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.9,28.7,27.0,33.1
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.3,4.0,3.5,5.0
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),1.7,2.4,2.2,3.3
127,Women age 15 years and above who use any kind of tobacco (%),8.0,12.3,10.8,na
128,Men age 15 years and above who use any kind of tobacco (%),44.7,49.9,48.1,na
129,Women age 15 years and above who consume alcohol (%),0.8,1.3,1.1,na
130,Men age 15 years and above who consume alcohol (%),18.9,17.7,18.1,na
