,Indicator,NFHS-5
88,Blood sugar level - high (141-160 mg/dl)(%),5.9
89,Blood sugar level - very high (>160 mg/dl) (%),4.4
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.4
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.3
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.5
93,pressure (%),18.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.4
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
96,pressure (%),19.0
97,  Ever undergone a screening test for cervical cancer (%),0.0
98,  Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),21.8
101,Men age 15 years and above who use any kind of tobacco (%),55.0
102,Women age 15 years and above who consume alcohol (%),0.3
103,Men age 15 years and above who consume alcohol (%),5.1
