Indicator,NFHS-5
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),68.0
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(54.3)
All women age 15-49 years who are anaemic (%),67.6
All women age 15-19 years who are anaemic (%),67.2
Women - Blood sugar level - high (141-160 mg/dl)(%),7.9
Women - Blood sugar level - very high (>160 mg/dl)(%),6.2
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.3
Men - Blood sugar level - high (141-160 mg/dl)(%),7.7
Men - Blood sugar level - very high (>160 mg/dl) (%),8.8
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.2
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.9
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.0
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.8
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.8
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.0
  Ever undergone a screening test for cervical cancer (%),0.2
  Ever undergone a breast examination for breast cancer (%),0.3
Ever undergone an oral cavity examination for oral cancer (%),0.5
Women age 15 years and above who use any kind of tobacco (%),25.5
Men age 15 years and above who use any kind of tobacco (%),58.4
Women age 15 years and above who consume alcohol (%),13.5
Men age 15 years and above who consume alcohol (%),42.9
