,Indicator,NFHS_5,NFHS_4
87,Children under 5 years who are stunted (height-for-age) (%),29.8,41.7
88,Children under 5 years who are wasted (weight-for-height) (%),19.5,16.6
89,Children under 5 years who are severely wasted (weight-for-height) (%),7.5,5.8
90,Children under 5 years who are underweight (weight-for-age) (%),26.2,33.1
91,Children under 5 years who are overweight (weight-for-height) (%),6.1,1.9
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.6,26.5
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),16.6,12.0
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),75.0,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.5,30.2
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),65.6,35.2
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),47.6,*
100,All women age 15-49 years who are anaemic (%),64.8,35.5
101,All women age 15-19 years who are anaemic (%),70.7,30.6
104,Women - Blood sugar level - high (141-160 mg/dl)(%),8.1,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.3,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.0,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),10.2,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),4.8,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.0,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.6,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.9,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.9,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.0,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.0,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.7,na
123,Ever undergone a screening test for cervical cancer (%),0.7,na
124,Ever undergone a breast examination for breast cancer (%),0.2,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),14.3,na
128,Men age 15 years and above who use any kind of tobacco (%),46.4,na
129,Women age 15 years and above who consume alcohol (%),0.7,na
130,Men age 15 years and above who consume alcohol (%),8.0,na
