,Indicator,NFHS-5
86,Blood sugar level - very high (>160 mg/dl)(%),7.3
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.3
88,Blood sugar level - high (141-160 mg/dl)(%),8.5
89,Blood sugar level - very high (>160 mg/dl) (%),9.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.0
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.3
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.1
93,pressure (%),25.9
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.7
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.4
96,pressure (%),26.3
97,  Ever undergone a screening test for cervical cancer (%),0.0
98,  Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.3
100,Women age 15 years and above who use any kind of tobacco (%),16.5
101,Men age 15 years and above who use any kind of tobacco (%),47.1
102,Women age 15 years and above who consume alcohol (%),4.0
103,Men age 15 years and above who consume alcohol (%),30.9
