,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
77,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.3,13.0,11.9,7.0
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),10.6,11.3,11.1,10.0
79,Total children age 6-23 months receiving an adequate diet (%),9.6,12.7,11.8,7.5
80,Children under 5 years who are stunted (height-for-age) (%),26.1,28.1,27.5,34.0
81,Children under 5 years who are wasted (weight-for-height) (%),10.8,11.8,11.5,21.2
82,Children under 5 years who are severely wasted (weight-for-height) (%),4.3,4.4,4.4,9.0
83,Children under 5 years who are underweight (weight-for-age) (%),20.5,21.8,21.5,29.4
84,Children under 5 years who are overweight (weight-for-height) (%),3.3,3.3,3.3,3.1
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.4,16.9,15.1,15.8
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.0,14.3,14.5,11.3
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),37.5,30.9,33.1,21.0
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),30.2,27.4,28.3,20.0
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),64.6,61.7,62.6,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),59.5,57.7,58.3,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.1,71.5,70.4,71.7
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.5,62.1,60.6,63.1
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),54.6,57.2,56.5,55.0
94,All women age 15-49 years who are anaemic (%),57.4,61.9,60.4,62.7
95,All women age 15-19 years who are anaemic (%),59.3,63.5,62.3,62.7
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),16.0,20.4,18.9,20.9
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),26.7,31.5,29.9,29.7
98,Women - Blood sugar level - high (141-160 mg/dl)(%),5.3,5.4,5.4,na
99,Women - Blood sugar level - very high (>160 mg/dl)(%),7.0,5.1,5.7,na
100,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.5,11.2,11.9,na
101,Men - Blood sugar level - high (141-160 mg/dl)(%),7.0,6.1,6.4,na
102,Men - Blood sugar level - very high (>160 mg/dl) (%),6.9,5.9,6.2,na
103,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.1,12.6,13.5,na
104,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.6,11.7,12.3,na
105,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),5.7,5.3,5.4,na
106,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.9,20.1,21.0,na
107,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.2,16.2,16.6,na
108,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),7.0,6.9,6.9,na
109,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.2,24.6,25.1,na
110,Women - Ever undergone a screening test for cervical cancer (%),1.0,0.7,0.8,na
111,Women - Ever undergone a breast examination for breast cancer (%),0.3,0.3,0.3,na
112,Women - Ever undergone an oral cavity examination for oral cancer (%),0.4,0.3,0.3,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),1.6,1.3,1.4,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),22.0,18.7,19.7,31.1
115,Men who have comprehensive knowledge of HIV/AIDS(%),39.4,35.0,36.4,48.5
116,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),71.4,70.7,70.9,71.6
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),86.8,89.4,88.5,87.8
118,Currently married women who usually participate in three household decisions(%),90.7,86.2,87.5,76.7
119,Women who worked in the last 12 months and were paid in cash (%),22.6,17.0,18.8,17.6
120,Women owning a house and/or land (alone or jointly with others) (%),35.7,41.0,39.3,35.8
121,Women having a bank or savings account that they themselves use (%),76.3,72.4,73.6,45.6
122,Women having a mobile phone that they themselves use (%),65.1,43.4,50.4,50.5
123,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.7,91.6,93.2,78.3
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),18.0,18.2,18.2,32.0
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.5,1.2,1.6,4.9
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.2,0.5,0.4,1.5
127,Women age 15 years and above who use any kind of tobacco (%),1.7,3.0,2.5,na
128,Men age 15 years and above who use any kind of tobacco (%),23.3,32.1,29.1,na
129,Women age 15 years and above who consume alcohol (%),0.3,0.2,0.3,na
130,Men age 15 years and above who consume alcohol (%),15.7,16.2,16.1,na
