,Indicator,NFHS-5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),53.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(89.5)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(46.4)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(85.9)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.7
66,Children under age 3 years breastfed within one hour of birth (%),54.5
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),32.1
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),30.0
72,Children under 5 years who are stunted (height-for-age) (%),32.2
73,Children under 5 years who are wasted (weight-for-height) (%),19.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.1
75,Children under 5 years who are underweight (weight-for-age) (%),26.4
76,Children under 5 years who are overweight (weight-for-height) (%),3.3
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),71.5
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),35.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),63.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),37.8
83,All women age 15-49 years who are anaemic (%),62.5
84,All women age 15-19 years who are anaemic (%),67.3
85,Blood sugar level - high (141-160 mg/dl)(%),8.9
86,Blood sugar level - very high (>160 mg/dl)(%),3.5
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9
88,Blood sugar level - high (141-160 mg/dl)(%),12.4
89,Blood sugar level - very high (>160 mg/dl) (%),4.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.7
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.0
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.1
93,pressure (%),13.6
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.5
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.7
96,pressure (%),20.0
97,Ever undergone a screening test for cervical cancer (%),0.0
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),11.1
101,Men age 15 years and above who use any kind of tobacco (%),52.4
102,Women age 15 years and above who consume alcohol (%),1.2
103,Men age 15 years and above who consume alcohol (%),30.6
