,Indicator,NFHS-5
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),75.1
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),48.8
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.4
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),75.3
66,Children under age 3 years breastfed within one hour of birth (%),81.2
67,Children under age 6 months exclusively breastfed (%),41.5
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),59.8
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),28.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),24.9
71,Total children age 6-23 months receiving an adequate diet  (%),27.5
72,Children under 5 years who are stunted (height-for-age) (%),59.0
73,Children under 5 years who are wasted (weight-for-height) (%),8.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),2.7
75,Children under 5 years who are underweight (weight-for-age) (%),31.1
76,Children under 5 years who are overweight (weight-for-height) (%),3.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),8.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),57.8
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),56.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.6
83,All women age 15-49 years who are anaemic (%),51.8
84,All women age 15-19 years who are anaemic (%),40.4
85,Blood sugar level - high (141-160 mg/dl)(%),2.3
86,Blood sugar level - very high (>160 mg/dl)(%),2.6
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),5.6
88,Blood sugar level - high (141-160 mg/dl)(%),4.3
89,Blood sugar level - very high (>160 mg/dl) (%),2.7
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.6
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.1
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
93,pressure (%),16.0
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.8
96,pressure (%),16.4
97,Ever undergone a screening test for cervical cancer (%),0.8
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.2
100,Women age 15 years and above who use any kind of tobacco (%),50.2
101,Men age 15 years and above who use any kind of tobacco (%),73.3
102,Women age 15 years and above who consume alcohol (%),1.6
103,Men age 15 years and above who consume alcohol (%),34.4
