,Indicator,NFHS-5
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.8
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.0
66,Children under age 3 years breastfed within one hour of birth (%),85.3
67,Children under age 6 months exclusively breastfed (%),50.5
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(63.1)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),25.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),25.6
71,Total children age 6-23 months receiving an adequate diet  (%),25.5
72,Children under 5 years who are stunted (height-for-age) (%),49.8
73,Children under 5 years who are wasted (weight-for-height) (%),8.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),2.9
75,Children under 5 years who are underweight (weight-for-age) (%),23.6
76,Children under 5 years who are overweight (weight-for-height) (%),3.7
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),62.3
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),47.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),43.7
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),46.5
83,All women age 15-49 years who are anaemic (%),43.9
84,All women age 15-19 years who are anaemic (%),40.6
85,Blood sugar level - high (141-160 mg/dl)(%),3.2
86,Blood sugar level - very high (>160 mg/dl)(%),2.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.3
88,Blood sugar level - high (141-160 mg/dl)(%),4.0
89,Blood sugar level - very high (>160 mg/dl) (%),3.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.7
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.1
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.9
93,pressure (%),18.7
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.1
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3
96,pressure (%),17.2
97,Ever undergone a screening test for cervical cancer (%),0.7
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.6
100,Women age 15 years and above who use any kind of tobacco (%),49.2
101,Men age 15 years and above who use any kind of tobacco (%),68.5
102,Women age 15 years and above who consume alcohol (%),3.6
103,Men age 15 years and above who consume alcohol (%),42.0
