,Indicator,NFHS_5
79,Children under age 3 years breastfed within one hour of birth (%),81.2
80,Children under age 6 months exclusively breastfed (%),41.5
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),59.8
82,Breastfeeding children age 6-23 months receiving an adequate diet  (%),28.5
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),24.9
84,Total children age 6-23 months receiving an adequate diet  (%),27.5
85,Children under 5 years who are stunted (height-for-age) (%),59.0
86,Children under 5 years who are wasted (weight-for-height) (%),8.0
87,Children under 5 years who are severely wasted (weight-for-height) (%),2.7
88,Children under 5 years who are underweight (weight-for-age) (%),31.1
89,Children under 5 years who are overweight (weight-for-height) (%),3.1
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.6
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),8.7
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),57.8
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),56.2
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.1
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),49.6
98,All women age 15-49 years who are anaemic (%),51.8
99,All women age 15-19 years who are anaemic (%),40.4
102,Women - Blood sugar level - high (141-160 mg/dl)(%),2.3
103,Women - Blood sugar level - very high (>160 mg/dl)(%),2.6
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),5.6
106,Men - Blood sugar level - high (141-160 mg/dl)(%),4.3
107,Men - Blood sugar level - very high (>160 mg/dl) (%),2.7
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.6
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.1
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.0
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.8
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.4
121,Ever undergone a screening test for cervical cancer (%),0.8
122,Ever undergone a breast examination for breast cancer (%),0.0
123,Ever undergone an oral cavity examination for oral cancer (%),0.2
125,Women age 15 years and above who use any kind of tobacco (%),50.2
126,Men age 15 years and above who use any kind of tobacco (%),73.3
127,Women age 15 years and above who consume alcohol (%),1.6
128,Men age 15 years and above who consume alcohol (%),34.4
