,Indicator,NFHS_5
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.8
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.0
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.9
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.9
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),30.3
121,Ever undergone a screening test for cervical cancer (%),2.8
122,Ever undergone a breast examination for breast cancer (%),0.1
123,Ever undergone an oral cavity examination for oral cancer (%),0.6
125,Women age 15 years and above who use any kind of tobacco (%),11.6
126,Men age 15 years and above who use any kind of tobacco (%),29.2
127,Women age 15 years and above who consume alcohol (%),17.0
128,Men age 15 years and above who consume alcohol (%),44.7
