Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Male sterilization (%),1.4,2.3,2.0,1.6
IUD/PPIUD (%),1.0,0.2,0.5,0.4
Pill (%),1.2,0.5,0.8,0.3
Condom (%),1.3,0.5,0.8,0.5
Injectables (%),0.1,0.1,0.1,0.0
Total unmet need(%),7.1,6.1,6.4,7.4
Unmet need for spacing (%),3.1,2.6,2.8,3.8
Health worker ever talked to female non-users about family planning (%),17.2,16.9,17.0,9.6
Current users ever told about side effects of current method (%),52.4,47.2,49.2,25.1
Mothers who had an antenatal check-up in the first trimester (%),89.8,87.6,88.5,83.1
Mothers who had at least 4 antenatal care visits (%),71.1,70.0,70.4,74.9
Mothers whose last birth was protected against neonatal tetanus (%),89.5,89.7,89.6,88.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.2,54.6,57.9,52.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37.0,32.7,34.4,28.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.8,97.8,96.7,89.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.0,87.3,87.6,81.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,594","3,966","3,846","4,218"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,14.6,15.6,9.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,88.9,90.0,na
Institutional births (%),97.7,96.6,97.0,91.5
Institutional births in public facility (%),43.4,53.6,49.7,30.5
Home births that were conducted by skilled health personnel (%),0.7,1.7,1.3,2.8
Births attended by skilled health personnel (%),94.6,92.9,93.6,91.3
Births delivered by caesarean section (%),64.3,58.4,60.7,57.7
Births in a private health facility that were delivered by caesarean section (%),82.7,80.6,81.5,74.5
Births in a public health facility that were delivered by caesarean section (%),44.8,44.3,44.5,40.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.7,81.5,79.1,67.5
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),85.7,88.3,87.4,79.1
Children age 12-23 months who have received BCG (%),90.4,95.3,93.5,97.4
Children age 12-23 months who have received 3 doses of polio vaccine (%),77.0,84.0,81.6,75.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.3,91.9,89.2,87.9
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),86.7,92.7,90.6,90.1
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),29.7,40.1,36.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),3.9,6.1,5.3,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.0,89.9,86.4,70.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.7,74.9,72.4,81.3
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),88.8,96.9,94.1,83.6
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),8.5,2.4,4.5,16.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,8.6,7.4,8.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),61.8,54.1,56.3,56.8
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),39.3,38.2,38.5,31.6
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),71.1,72.2,71.9,74.1
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,2.4,2.2,2.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.8,73.7,74.8,76.3
Children under age 3 years breastfed within one hour of birth (%),38.8,36.0,37.1,36.9
Children under age 6 months exclusively breastfed (%),59.1,73.4,68.2,67.0
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),53.1,50.1,51.3,57.5
Breastfeeding children age 6-23 months receiving an adequate diet (%),8.3,8.3,8.3,9.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),8.9,22.1,15.3,11.2
Total children age 6-23 months receiving an adequate diet (%),8.4,9.7,9.2,10.1
Children under 5 years who are stunted (height-for-age) (%),28.1,35.7,33.1,28.0
Children under 5 years who are wasted (weight-for-height) (%),20.0,22.6,21.7,18.1
Children under 5 years who are severely wasted (weight-for-height) (%),9.2,8.2,8.5,4.8
Children under 5 years who are underweight (weight-for-age) (%),25.8,35.0,31.8,28.4
Children under 5 years who are overweight (weight-for-height) (%),4.2,3.0,3.4,0.7
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.5,21.6,18.8,22.9
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.2,16.8,16.2,21.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.7,23.8,30.1,28.6
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),40.2,28.1,32.3,24.2
Women who have high risk waist-to-hip ratio (≥0.85) (%),47.5,42.3,44.1,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),47.6,45.3,46.1,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),64.7,72.8,70.0,60.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.4,59.1,57.8,56.9
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),50.4,54.4,53.2,48.2
All women age 15-49 years who are anaemic (%),55.2,58.9,57.6,56.6
All women age 15-19 years who are anaemic (%),63.6,65.2,64.7,59.7
Men age 15-49 years who are anaemic (<13.0 g/dl)%),13.2,16.5,15.3,15.3
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),25.8,24.7,25.1,19.2
Women - Blood sugar level - high (141-160 mg/dl)(%),6.2,5.7,5.8,na
Women - Blood sugar level - very high (>160 mg/dl)(%),9.3,6.0,7.0,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),18.4,13.0,14.7,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.3,6.7,6.9,na
Men - Blood sugar level - very high (>160 mg/dl) (%),11.4,8.4,9.3,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),21.4,16.6,18.1,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.3,13.2,13.6,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.3,6.3,6.3,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.1,24.7,26.1,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),20.5,17.5,18.5,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),9.1,7.6,8.1,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),36.8,28.9,31.4,na
Women - Ever undergone a screening test for cervical cancer (%),2.3,3.9,3.3,na
Women - Ever undergone a breast examination for breast cancer (%),0.3,0.4,0.3,na
Women - Ever undergone an oral cavity examination for oral cancer (%),3.2,2.1,2.5,na
Men - Ever undergone an oral cavity examination for oral cancer (%),1.9,3.0,2.6,na
Women who have comprehensive knowledge of HIV/AIDS (%),36.9,26.9,30.7,29.5
Men who have comprehensive knowledgeof HIV/AIDS(%),33.0,28.9,30.5,50.1
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),74.7,65.4,68.9,59.1
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),78.0,73.5,75.3,81.5
Currently married women who usually participate in three household decisions(%),88.9,86.2,87.2,81.0
Women who worked in the last 12 months and were paid in cash (%),28.2,55.5,45.1,44.7
Women owning a house and/or land (alone or jointly with others) (%),53.9,74.5,66.6,50.3
Women having a bank or savings account that they themselves use (%),83.0,85.2,84.4,59.5
Women having a mobile phone that they themselves use (%),75.2,50.6,60.0,47.4
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),95.2,90.3,92.1,76.6
Ever-married women age 18-49 years who have ever experienced spousal violence (%),27.3,42.3,36.9,42.9
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.1,5.1,4.0,5.9
Young women age 18-29 years who experienced sexual violence by age 18 (%),0.1,1.3,0.8,1.3
Women age 15 years and above who use any kind of tobacco (%),2.6,7.2,5.6,na
Men age 15 years and above who use any kind of tobacco (%),15.2,26.5,22.3,na
Women age 15 years and above who consume alcohol (%),2.6,9.0,6.7,na
Men age 15 years and above who consume alcohol (%),33.9,49.0,43.3,na
