Indicator,NFHS-5
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.4
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.4
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.7
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.8
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.2
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),34.7
Ever undergone a screening test for cervical cancer (%),4.9
Ever undergone a breast examination for breast cancer (%),0.3
Ever undergone an oral cavity examination for oral cancer (%),3.5
Women age 15 years and above who use any kind of tobacco (%),4.6
Men age 15 years and above who use any kind of tobacco (%),21.6
Women age 15 years and above who consume alcohol (%),4.2
Men age 15 years and above who consume alcohol (%),47.5
