,Indicator,NFHS-5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(87.4)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),79.7
66,Children under age 3 years breastfed within one hour of birth (%),50.5
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),3.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),3.4
72,Children under 5 years who are stunted (height-for-age) (%),33.0
73,Children under 5 years who are wasted (weight-for-height) (%),19.3
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.2
75,Children under 5 years who are underweight (weight-for-age) (%),26.3
76,Children under 5 years who are overweight (weight-for-height) (%),3.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),48.0
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),81.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),63.0
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(54.1)
83,All women age 15-49 years who are anaemic (%),62.8
84,All women age 15-19 years who are anaemic (%),70.3
85,Blood sugar level - high (141-160 mg/dl)(%),7.7
86,Blood sugar level - very high (>160 mg/dl)(%),5.6
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.1
88,Blood sugar level - high (141-160 mg/dl)(%),6.8
89,Blood sugar level - very high (>160 mg/dl) (%),8.4
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.5
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.6
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.1
93,pressure (%),21.9
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.4
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2
96,pressure (%),28.8
97,Ever undergone a screening test for cervical cancer (%),1.8
98,Ever undergone a breast examination for breast cancer (%),0.5
99,Ever undergone an oral cavity examination for oral cancer (%),2.0
100,Women age 15 years and above who use any kind of tobacco (%),5.0
101,Men age 15 years and above who use any kind of tobacco (%),28.1
102,Women age 15 years and above who consume alcohol (%),12.6
103,Men age 15 years and above who consume alcohol (%),56.5
