,Indicator,NFHS_5
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(61.0)
98,All women age 15-49 years who are anaemic (%),61.1
99,All women age 15-19 years who are anaemic (%),68.0
102,Women - Blood sugar level - high (141-160 mg/dl)(%),4.7
103,Women - Blood sugar level - very high (>160 mg/dl)(%),4.5
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8
106,Men - Blood sugar level - high (141-160 mg/dl)(%),5.9
107,Men - Blood sugar level - very high (>160 mg/dl) (%),5.8
108,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8
111,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.0
112,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5
114,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.1
116,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.5
117,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.4
119,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.4
121,Ever undergone a screening test for cervical cancer (%),5.3
122,Ever undergone a breast examination for breast cancer (%),0.2
123,Ever undergone an oral cavity examination for oral cancer (%),0.6
125,Women age 15 years and above who use any kind of tobacco (%),11.0
126,Men age 15 years and above who use any kind of tobacco (%),29.7
127,Women age 15 years and above who consume alcohol (%),2.1
128,Men age 15 years and above who consume alcohol (%),28.3
