,Indicator,NFHS-5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.0)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(36.5)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(1.3)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.4)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(81.9)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(18.1)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.1
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(63.8)
66,Children under age 3 years breastfed within one hour of birth (%),42.9
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),10.9
72,Children under 5 years who are stunted (height-for-age) (%),33.4
73,Children under 5 years who are wasted (weight-for-height) (%),12.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.0
75,Children under 5 years who are underweight (weight-for-age) (%),25.0
76,Children under 5 years who are overweight (weight-for-height) (%),1.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
83,All women age 15-49 years who are anaemic (%),56.8
84,All women age 15-19 years who are anaemic (%),56.1
85,Blood sugar level - high (141-160 mg/dl)(%),4.4
86,Blood sugar level - very high (>160 mg/dl)(%),10.2
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.5
88,Blood sugar level - high (141-160 mg/dl)(%),5.5
89,Blood sugar level - very high (>160 mg/dl) (%),10.0
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.6
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.0
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.7
93,pressure (%),26.5
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.7
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.2
96,pressure (%),34.8
97,Ever undergone a screening test for cervical cancer (%),0.5
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.7
100,Women age 15 years and above who use any kind of tobacco (%),3.0
101,Men age 15 years and above who use any kind of tobacco (%),17.9
102,Women age 15 years and above who consume alcohol (%),2.4
103,Men age 15 years and above who consume alcohol (%),39.3
