,Indicator,NFHS-5
73,Children under 5 years who are wasted (weight-for-height) (%),17.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.7
75,Children under 5 years who are underweight (weight-for-age) (%),33.0
76,Children under 5 years who are overweight (weight-for-height) (%),4.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),24.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),24.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),40.3
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),82.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(44.9)
83,All women age 15-49 years who are anaemic (%),54.7
84,All women age 15-19 years who are anaemic (%),61.2
85,Women - Blood sugar level - high (141-160 mg/dl)(%),4.9
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.7
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8
88,Men - Blood sugar level - high (141-160 mg/dl)(%),6.4
89,Men - Blood sugar level - very high (>160 mg/dl) (%),7.0
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.2
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.0
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.2
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.5
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.5
97,Ever undergone a screening test for cervical cancer (%),2.2
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),1.4
100,Women age 15 years and above who use any kind of tobacco (%),7.5
101,Men age 15 years and above who use any kind of tobacco (%),25.3
102,Women age 15 years and above who consume alcohol (%),8.0
103,Men age 15 years and above who consume alcohol (%),42.9
