,Indicator,NFHS-5
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(61.6)
66,Children under age 3 years breastfed within one hour of birth (%),22.5
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(9.5)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),(15.1)
72,Children under 5 years who are stunted (height-for-age) (%),29.1
73,Children under 5 years who are wasted (weight-for-height) (%),24.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.8
75,Children under 5 years who are underweight (weight-for-age) (%),30.1
76,Children under 5 years who are overweight (weight-for-height) (%),2.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),33.9
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),45.0
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(39.8)
83,All women age 15-49 years who are anaemic (%),57.5
84,All women age 15-19 years who are anaemic (%),64.5
85,Blood sugar level - high (141-160 mg/dl)(%),8.1
86,Blood sugar level - very high (>160 mg/dl)(%),8.2
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.7
88,Blood sugar level - high (141-160 mg/dl)(%),9.0
89,Blood sugar level - very high (>160 mg/dl) (%),12.2
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.9
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.2
93,pressure (%),25.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.8
96,pressure (%),27.3
97,Ever undergone a screening test for cervical cancer (%),5.3
98,Ever undergone a breast examination for breast cancer (%),0.4
99,Ever undergone an oral cavity examination for oral cancer (%),4.1
100,Women age 15 years and above who use any kind of tobacco (%),3.0
101,Men age 15 years and above who use any kind of tobacco (%),20.8
102,Women age 15 years and above who consume alcohol (%),6.1
103,Men age 15 years and above who consume alcohol (%),46.7
