,Indicator,NFHS-5
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.0
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),21.3
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.7
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.5
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),32.9
97,Ever undergone a screening test for cervical cancer (%),1.1
98,Ever undergone a breast examination for breast cancer (%),0.9
99,Ever undergone an oral cavity examination for oral cancer (%),1.0
100,Women age 15 years and above who use any kind of tobacco (%),2.8
101,Men age 15 years and above who use any kind of tobacco (%),30.3
102,Women age 15 years and above who consume alcohol (%),0.4
103,Men age 15 years and above who consume alcohol (%),23.5
