,Indicator,NFHS-5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.3
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.7
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.2)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(46.4)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(63.1)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3
65,health provider (%),(69.9)
66,Children under age 3 years breastfed within one hour of birth (%),50.3
67,Children under age 6 months exclusively breastfed (%),(74.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),31.8
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),29.5
72,Children under 5 years who are stunted (height-for-age) (%),38.7
73,Children under 5 years who are wasted (weight-for-height) (%),8.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.8
75,Children under 5 years who are underweight (weight-for-age) (%),21.8
76,Children under 5 years who are overweight (weight-for-height) (%),6.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.6
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),43.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),64.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(39.4)
83,All women age 15-49 years who are anaemic (%),45.9
84,All women age 15-19 years who are anaemic (%),50.1
85,Blood sugar level - high (141-160 mg/dl)(%),3.6
86,Blood sugar level - very high (>160 mg/dl)(%),7.5
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9
88,Blood sugar level - high (141-160 mg/dl)(%),3.8
89,Blood sugar level - very high (>160 mg/dl) (%),9.6
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.5
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.6
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5
93,pressure (%),27.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),24.9
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.1
96,pressure (%),37.0
97,Ever undergone a screening test for cervical cancer (%),1.0
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),3.1
101,Men age 15 years and above who use any kind of tobacco (%),24.1
102,Women age 15 years and above who consume alcohol (%),0.2
103,Men age 15 years and above who consume alcohol (%),14.6
