,Indicator,NFHS-5
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.1
65,health provider (%),(76.3)
66,Children under age 3 years breastfed within one hour of birth (%),47.6
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(23.4)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),18.2
72,Children under 5 years who are stunted (height-for-age) (%),33.5
73,Children under 5 years who are wasted (weight-for-height) (%),13.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.0
75,Children under 5 years who are underweight (weight-for-age) (%),25.5
76,Children under 5 years who are overweight (weight-for-height) (%),4.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),44.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),66.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.3
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),45.1
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
83,All women age 15-49 years who are anaemic (%),44.6
84,All women age 15-19 years who are anaemic (%),54.6
85,Blood sugar level - high (141-160 mg/dl)(%),4.5
86,Blood sugar level - very high (>160 mg/dl)(%),5.7
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7
88,Blood sugar level - high (141-160 mg/dl)(%),6.0
89,Blood sugar level - very high (>160 mg/dl) (%),7.9
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.8
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.0
93,pressure (%),26.5
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),25.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),12.9
96,pressure (%),41.5
97,Ever undergone a screening test for cervical cancer (%),1.5
98,Ever undergone a breast examination for breast cancer (%),1.1
99,Ever undergone an oral cavity examination for oral cancer (%),2.5
100,Women age 15 years and above who use any kind of tobacco (%),3.4
101,Men age 15 years and above who use any kind of tobacco (%),27.8
102,Women age 15 years and above who consume alcohol (%),0.3
103,Men age 15 years and above who consume alcohol (%),19.8
