,Indicator,NFHS-5
89,Blood sugar level - very high (>160 mg/dl) (%),7.0
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.6
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.2
93,pressure (%),25.8
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),22.2
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.4
96,pressure (%),33.8
97,Ever undergone a screening test for cervical cancer (%),0.1
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),1.5
101,Men age 15 years and above who use any kind of tobacco (%),25.0
102,Women age 15 years and above who consume alcohol (%),0.4
103,Men age 15 years and above who consume alcohol (%),19.8
