,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
64,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),26.5,(29.5),26.6,na
65,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.9,(82.2),81.9,62.7
66,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),53.0,50.7,52.9,61.4
67,Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),88.5,(93.7),88.7,92.9
68,Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),11.3,(6.3),11.1,6.9
69,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.5,11.9,10.6,9.6
70,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),65.8,*,64.5,62.1
71,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),33.7,*,32.8,25.3
72,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),78.6,*,78.2,80.6
73,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),5.6,6.0,5.6,2.4
74,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),76.5,(81.9),76.7,81.4
75,Children under age 3 years breastfed within one hour of birth (%),51.3,49.3,51.2,28.0
76,Children under age 6 months exclusively breastfed (%),64.3,*,64.3,49.6
77,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),63.2,*,62.9,35.4
78,Breastfeeding children age 6-23 months receiving an adequate diet (%),18.3,(29.5),18.8,4.3
79,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),9.6,*,9.5,9.4
80,Total children age 6-23 months receiving an adequate diet (%),16.4,(28.4),16.8,5.2
81,Children under 5 years who are stunted (height-for-age) (%),31.0,26.3,30.9,31.9
82,Children under 5 years who are wasted (weight-for-height) (%),11.4,7.6,11.2,15.9
83,Children under 5 years who are severely wasted (weight-for-height) (%),4.9,3.7,4.9,4.6
84,Children under 5 years who are underweight (weight-for-age) (%),22.2,11.3,21.8,27.0
85,Children under 5 years who are overweight (weight-for-height) (%),4.0,4.5,4.0,1.2
86,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.1,6.8,10.0,14.9
87,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.2,(2.2),9.1,17.7
88,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),41.2,44.6,41.3,33.5
89,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),37.9,(43.7),38.0,24.6
90,Women who have high risk waist-to-hip ratio (≥0.85) (%),67.6,69.0,67.7,na
91,Men who have high risk waist-to-hip ratio (≥0.90) (%),62.1,(44.2),61.8,na
92,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),68.7,81.7,69.2,59.7
93,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),49.9,59.7,50.2,54.7
94,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),42.2,*,42.2,46.1
95,All women age 15-49 years who are anaemic (%),49.7,58.6,49.9,54.3
96,All women age 15-19 years who are anaemic (%),51.5,52.3,51.6,55.1
97,Men age 15-49 years who are anaemic (<13.0 g/dl)%),12.5,(20.2),12.6,21.7
98,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),18.7,*,18.9,25.9
99,Blood sugar level - high (141-160 mg/dl)(%),4.2,4.9,4.2,na
100,Blood sugar level - very high (>160 mg/dl)(%),6.3,5.3,6.3,na
101,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.3,10.8,12.2,na
102,Blood sugar level - high (141-160 mg/dl)(%),5.3,6.6,5.3,na
103,Blood sugar level - very high (>160 mg/dl) (%),7.4,5.0,7.3,na
104,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.0,14.8,14.1,na
105,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.7,13.5,14.7,na
106,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.0,3.4,5.9,na
107,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.2,20.2,24.1,na
108,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),21.9,18.1,21.8,na
109,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),8.7,10.5,8.7,na
110,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),32.8,31.0,32.8,na
111,Ever undergone a screening test for cervical cancer (%),0.7,0.5,0.7,na
112,Ever undergone a breast examination for breast cancer (%),0.3,0.5,0.3,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.9,1.1,0.9,na
114,Ever undergone an oral cavity examination for oral cancer (%),0.5,*,0.5,na
115,Women who have comprehensive knowledge of HIV/AIDS (%),29.4,(38.0),29.5,32.7
116,Men who have comprehensive knowledge of HIV/AIDS(%),44.1,(28.1),43.9,27.5
117,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),82.3,(83.4),82.3,72.6
118,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),93.0,(87.3),92.9,83.3
119,Currently married women who usually participate in three household decisions(%),92.0,(94.3),92.0,73.8
120,Women who worked in the last 12 months and were paid in cash (%),25.0,(17.2),24.9,21.1
121,Women owning a house and/or land (alone or jointly with others) (%),22.6,(27.4),22.7,34.9
122,Women having a bank or savings account that they themselves use (%),72.3,(84.8),72.5,64.5
123,Women having a mobile phone that they themselves use (%),73.7,(81.0),73.8,66.6
124,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.9,98.4,96.9,90.7
125,Ever-married women age 18-49 years who have ever experienced spousal violence (%),22.8,(10.3),22.6,26.8
126,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.7,(0.0),3.6,3.4
127,Young women age 18-29 years who experienced sexual violence by age 18 (%),1.6,*,1.6,0.0
128,Women age 15 years and above who use any kind of tobacco (%),2.2,3.4,2.2,na
129,Men age 15 years and above who use any kind of tobacco (%),26.2,32.1,26.3,na
130,Women age 15 years and above who consume alcohol (%),0.5,0.3,0.5,na
131,Men age 15 years and above who consume alcohol (%),21.6,22.9,21.6,na
