Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.1,*,13.0,13.3
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.1,*,15.1,21.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),43.9,*,44.0,41.5
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),34.4,*,34.4,32.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),60.4,*,60.7,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),66.9,*,66.9,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),55.0,*,54.6,73.1
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.1,*,60.1,75.9
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,*,*,*
All women age 15-49 years who are anaemic (%),60.3,(64.0),60.3,75.9
All women age 15-19 years who are anaemic (%),57.5,*,57.7,74.7
Men age 15-49 years who are anaemic (<13.0 g/dl)%),8.1,*,8.1,19.3
Women - Men age 15-19 years who are anaemic (<13.0 g/dl)(%),*,*,*,(22.4)
Women - Blood sugar level - high (141-160 mg/dl)(%),6.0,(3.5),6.0,na
Women - Blood sugar level - very high (>160 mg/dl)(%),12.0,(13.8),12.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),19.0,(17.2),19.0,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.1,(8.0),7.1,na
Men - Blood sugar level - very high (>160 mg/dl) (%),8.8,(8.0),8.8,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.6,(16.0),16.6,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.4,(20.0),14.5,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.5,(6.7),5.6,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.0,(30.0),25.0,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),18.6,(19.2),18.7,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),8.6,(15.4),8.7,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),30.6,(34.6),30.6,na
Women - Ever undergone a screening test for cervical cancer (%),1.4,*,1.4,na
Women - Ever undergone a breast examination for breast cancer (%),0.0,*,0.0,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.4,*,0.4,na
Ever undergone an oral cavity examination for oral cancer (%),(2.4),*,(2.4),na
Women who have comprehensive knowledge of HIV/AIDS (%),20.3,*,20.3,41.1
Men who have comprehensive knowledge of HIV/AIDS(%),53.6,*,53.6,66.4
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),72.3,*,72.3,87.6
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),85.0,*,85.0,92.9
Currently married women who usually participate in three household decisions(%),94.6,*,94.6,96.6
Women who worked in the last 12 months and were paid in cash (%),22.0,*,22.0,32.6
Women owning a house and/or land (alone or jointly with others) (%),30.4,*,30.4,21.6
Women having a bank or savings account that they themselves use (%),87.1,*,87.1,79.6
Women having a mobile phone that they themselves use (%),70.0,*,70.0,74.2
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),93.3,*,93.4,92.1
Ever-married women age 18-49 years who have ever experienced spousal violence (%),9.7,*,9.7,22.5
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,*,0.0,3.5
Young women age 18-29 years who experienced sexual violence by age 18 (%),*,*,*,(0.0)
Women age 15 years and above who use any kind of tobacco (%),0.6,(0.0),0.6,na
Men age 15 years and above who use any kind of tobacco (%),12.0,(23.7),12.1,na
Women age 15 years and above who consume alcohol (%),0.3,(0.0),0.3,na
Men age 15 years and above who consume alcohol (%),18.5,(31.6),18.6,na
