,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9,0.2,0.6,2.2
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),56.8,45.8,53.0,50.1
74,Children under age 3 years breastfed within one hour of birth (%),61.5,58.6,60.1,70.3
75,Children under age 6 months exclusively breastfed (%),74.3,62.2,67.9,61.1
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(63.6),46.6,56.9,68.2
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),16.2,8.3,12.5,14.6
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(13.9),22.3,18.5,13.3
79,Total children age 6-23 months receiving an adequate diet  (%),15.9,10.8,13.4,14.5
80,Children under 5 years who are stunted (height-for-age) (%),25.5,31.9,28.9,28.1
81,Children under 5 years who are wasted (weight-for-height) (%),8.3,11.2,9.8,6.1
82,Children under 5 years who are severely wasted (weight-for-height) (%),3.6,6.1,4.9,2.3
83,Children under 5 years who are underweight (weight-for-age) (%),9.3,15.8,12.7,12.0
84,Children under 5 years who are overweight (weight-for-height) (%),12.1,8.1,10.0,4.2
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),4.2,6.8,5.3,8.4
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.6,8.0,5.1,7.3
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.7,16.9,24.2,21.0
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),38.3,24.2,31.9,20.9
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),47.8,47.3,47.6,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),30.1,25.6,28.1,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),42.8,49.6,46.4,19.3
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),30.8,40.1,34.8,24.7
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),31.9,35.9,34.0,27.0
94,All women age 15-49 years who are anaemic (%),30.8,39.9,34.8,24.8
95,All women age 15-19 years who are anaemic (%),30.3,40.8,34.9,21.3
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),13.3,18.3,15.6,12.1
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),23.8,18.9,21.5,14.4
98,Blood sugar level - high (141-160 mg/dl)(%),6.9,6.9,6.9,na
99,Blood sugar level - very high (>160 mg/dl)(%),6.7,4.6,5.7,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),15.0,12.3,13.8,na
101,Blood sugar level - high (141-160 mg/dl)(%),7.3,8.3,7.8,na
102,Blood sugar level - very high (>160 mg/dl) (%),6.7,5.2,6.0,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.4,14.3,15.4,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.3,8.7,10.7,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.3,3.0,3.2,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.0,13.5,17.7,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),17.0,15.2,16.2,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.4,4.2,5.4,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),28.7,21.1,25.2,na
110,Ever undergone a screening test for cervical cancer (%),9.4,3.3,6.9,na
111,Ever undergone a breast examination for breast cancer (%),3.6,1.3,2.7,na
112,Ever undergone an oral cavity examination for oral cancer (%),1.4,0.3,0.9,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.2,2.4,1.2,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),70.8,56.0,64.1,66.2
115,Men who have comprehensive knowledge of HIV/AIDS(%),66.6,64.3,65.6,68.3
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),95.7,86.0,91.3,91.2
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),98.6,90.5,95.1,94.0
118,Currently married women who usually participate in three household decisions(%),99.6,98.0,98.8,96.0
119,Women who worked in the last 12 months and were paid in cash (%),29.4,29.0,29.2,29.4
120,Women owning a house and/or land (alone or jointly with others) (%),14.5,28.4,20.8,19.6
121,Women having a bank or savings account that they themselves use (%),85.4,75.0,80.7,57.1
122,Women having a mobile phone that they themselves use (%),91.8,70.6,82.3,77.0
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),93.6,84.6,89.8,93.4
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),11.3,10.3,10.9,17.1
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.9,0.4,0.7,2.1
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,3.8,1.8,0.2
127,Women age 15 years and above who use any kind of tobacco (%),56.6,68.5,61.6,na
128,Men age 15 years and above who use any kind of tobacco (%),69.5,77.4,72.9,na
129,Women age 15 years and above who consume alcohol (%),1.0,0.8,0.9,na
130,Men age 15 years and above who consume alcohol (%),22.8,25.2,23.8,na
