Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.2,55.0,55.4,53.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.6,53.6,53.4,53.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,43.9,42.2,50.4
All women age 15-49 years who are anaemic (%),51.0,53.3,53.0,53.5
All women age 15-19 years who are anaemic (%),59.8,52.3,53.2,52.7
Men age 15-49 years who are anaemic (<13.0 g/dl)%),8.6,20.3,18.6,20.1
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),*,22.4,22.1,25.0
Women - Blood sugar level - high (141-160 mg/dl)(%),6.8,6.3,6.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),7.1,6.3,6.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),15.4,13.7,13.9,na
Men - Blood sugar level - high (141-160 mg/dl)(%),7.9,6.6,6.8,na
Men - Blood sugar level - very high (>160 mg/dl) (%),7.7,6.5,6.7,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),18.3,14.2,14.7,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),9.5,12.2,11.9,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.9,5.1,5.1,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.1,22.2,22.2,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),18.0,16.2,16.5,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),6.0,4.7,4.9,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.1,23.6,24.4,na
Women - Ever undergone a screening test for cervical cancer (%),3.4,0.5,0.9,na
Women - Ever undergone a breast examination for breast cancer (%),1.5,0.3,0.4,na
Women - Ever undergone an oral cavity examination for oral cancer (%),0.0,0.3,0.3,na
Men - Ever undergone an oral cavity examination for oral cancer (%),2.6,0.8,1.1,na
Women who have comprehensive knowledge of HIV/AIDS (%),46.1,34.7,36.2,30.9
Men who have comprehensive knowledge of HIV/AIDS(%),46.9,39.8,40.8,44.5
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),92.7,74.1,76.6,68.6
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.4,84.6,85.5,89.0
Currently married women who usually participate in three household decisions(%),93.8,93.9,93.9,90.8
Women who worked in the last 12 months and were paid in cash (%),36.3,17.7,20.2,17.0
Women owning a house and/or land (alone or jointly with others) (%),21.1,23.4,23.1,11.3
Women having a bank or savings account that they themselves use (%),88.8,82.2,83.1,68.8
Women having a mobile phone that they themselves use (%),90.9,77.8,79.5,73.9
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),96.3,90.8,91.5,84.3
Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,8.7,8.3,5.9
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,0.7,0.6,1.5
Young women age 18-29 years who experienced sexual violence by age 18 (%),*,0.7,0.6,0.5
Women age 15 years and above who use any kind of tobacco (%),1.2,1.7,1.7,na
Men age 15 years and above who use any kind of tobacco (%),25.4,33.4,32.3,na
Women age 15 years and above who consume alcohol (%),0.3,0.7,0.6,na
Men age 15 years and above who consume alcohol (%),30.4,32.1,31.9,na
