,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
99,Women - Blood sugar level - high (141-160 mg/dl)(%),7.2,7.4,7.2,na
100,Women - Blood sugar level - very high (>160 mg/dl)(%),10.4,9.4,10.1,na
101,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),21.2,17.8,20.1,na
102,Men - Blood sugar level - high (141-160 mg/dl)(%),7.0,7.0,7.0,na
103,Men - Blood sugar level - very high (>160 mg/dl) (%),13.5,9.3,12.2,na
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.2,18.3,21.7,na
105,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.4,11.7,12.1,na
106,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.4,3.0,4.0,na
107,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.3,20.2,23.0,na
108,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.0,17.1,19.1,na
109,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.0,7.4,6.4,na
110,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),31.1,28.0,30.1,na
111,Women - Ever undergone a screening test for cervical cancer (%),5.0,12.6,7.4,na
112,Women - Ever undergone a breast examination for breast cancer (%),4.1,4.5,4.2,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),2.0,0.4,1.5,na
114,Ever undergone an oral cavity examination for oral cancer (%),0.1,(0.0),0.1,na
115,Women who have comprehensive knowledge of HIV/AIDS (%),30.2,30.2,30.2,25.4
116,Men who have comprehensive knowledge of HIV/AIDS(%),35.2,25.4,32.5,18.0
117,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),80.8,75.9,79.3,72.7
118,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),91.4,87.5,90.3,84.6
119,Currently married women who usually participate in three household decisions(%),98.4,96.6,97.9,85.1
120,Women who worked in the last 12 months and were paid in cash (%),35.4,44.8,38.2,21.2
121,Women owning a house and/or land (alone or jointly with others) (%),36.8,38.3,37.3,40.3
122,Women having a bank or savings account that they themselves use (%),90.9,96.7,92.6,68.2
123,Women having a mobile phone that they themselves use (%),85.5,76.6,82.9,67.3
124,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.1,99.1,99.1,96.9
125,Ever-married women age 18-49 years who have ever experienced spousal violence (%),29.8,32.5,30.5,34.6
126,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.3,2.4,1.6,4.6
127,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,(0.0),0.0,0.1
128,Women age 15 years and above who use any kind of tobacco (%),1.2,5.6,2.6,na
129,Men age 15 years and above who use any kind of tobacco (%),13.8,17.3,14.8,na
130,Women age 15 years and above who consume alcohol (%),0.1,0.5,0.3,na
131,Men age 15 years and above who consume alcohol (%),26.7,30.1,27.7,na
