,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
95,All women age 15-19 years who are anaemic (%),71.5,77.5,76.2,49.9
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),28.0,40.0,36.7,20.4
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),37.9,60.1,53.5,29.5
98,Women - Blood sugar level - high (141-160 mg/dl)(%),3.9,4.3,4.2,na
99,Women - Blood sugar level - very high (>160 mg/dl)(%),3.4,3.0,3.1,na
100,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),9.2,8.6,8.7,na
101,Men - Blood sugar level - high (141-160 mg/dl)(%),4.0,4.4,4.3,na
102,Men - Blood sugar level - very high (>160 mg/dl) (%),2.9,2.7,2.7,na
103,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),8.1,8.0,8.0,na
104,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),11.4,11.8,11.7,na
105,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.0,3.1,3.0,na
106,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.2,19.6,20.0,na
107,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.5,12.2,12.3,na
108,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),2.8,2.7,2.8,na
109,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.1,18.5,18.9,na
110,Women - Ever undergone a screening test for cervical cancer (%),0.3,0.6,0.5,na
111,Women - Ever undergone a breast examination for breast cancer (%),0.1,0.4,0.3,na
112,Women - Ever undergone an oral cavity examination for oral cancer (%),0.1,0.9,0.7,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),0.1,1.6,1.1,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),17.4,15.2,15.8,18.9
115,Men who have comprehensive knowledge of HIV/AIDS(%),27.3,36.0,33.6,24.6
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),72.0,62.7,65.3,68.5
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),65.5,78.1,74.6,83.7
118,Currently married women who usually participate in three household decisions(%),81.3,81.7,81.6,84.0
119,Women who worked in the last 12 months and were paid in cash (%),18.1,18.5,18.4,12.3
120,Women owning a house and/or land (alone or jointly with others) (%),48.2,60.8,57.3,33.1
121,Women having a bank or savings account that they themselves use (%),88.5,83.5,84.9,60.0
122,Women having a mobile phone that they themselves use (%),80.4,73.3,75.2,53.9
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),85.8,69.6,73.4,66.6
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),5.9,11.0,9.6,9.4
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.3,1.6,1.2,1.3
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.1,0.1,0.1
127,Women age 15 years and above who use any kind of tobacco (%),1.8,4.2,3.6,na
128,Men age 15 years and above who use any kind of tobacco (%),32.0,40.6,38.3,na
129,Women age 15 years and above who consume alcohol (%),0.1,0.2,0.2,na
130,Men age 15 years and above who consume alcohol (%),7.7,9.2,8.8,na
