,Indicator,NFHS_5,NFHS_4
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.9,na
51,Institutional births (%),92.8,88.7
52,Institutional births in public facility (%),82.2,74.5
53,Home births that were conducted by skilled health personnel (%),1.7,1.7
54,Births attended by skilled health personnel (%),93.7,89.9
55,Births delivered by caesarean section (%),48.1,34.6
56,Births in a private health facility that were delivered by caesarean section (%),(49.2),(43.1)
57,Births in a public health facility that were delivered by caesarean section (%),52.2,38.2
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),90.3,68.0
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.1),84.3
62,Children age 12-23 months who have received BCG (%),93.4,97.7
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),91.6,80.5
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.3,75.7
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.4,92.7
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.9,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.9,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.3,59.2
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.5,76.3
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.9,98.8
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.2
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.0,12.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(52.7)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(30.0)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(76.0)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.8,11.9
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(66.1),82.3
81,Children under age 3 years breastfed within one hour of birth (%),37.9,35.6
82,Children under age 6 months exclusively breastfed (%),*,(77.3)
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(74.3)
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),19.9,17.3
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),21.7,19.4
87,Children under 5 years who are stunted (height-for-age) (%),25.2,20.5
88,Children under 5 years who are wasted (weight-for-height) (%),14.0,6.2
89,Children under 5 years who are severely wasted (weight-for-height) (%),4.6,1.9
90,Children under 5 years who are underweight (weight-for-age) (%),16.8,9.9
91,Children under 5 years who are overweight (weight-for-height) (%),11.4,3.6
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.4,9.5
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.2,34.0
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),89.8,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.1,58.9
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),74.3,55.3
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(55.3),(44.7)
100,All women age 15-49 years who are anaemic (%),73.7,55.0
101,All women age 15-19 years who are anaemic (%),73.2,51.4
104,Women - Blood sugar level - high (141-160 mg/dl)(%),2.9,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.2,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.7,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),3.5,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),3.7,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.0,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.8,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.4,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.7,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.4,na
123,Ever undergone a screening test for cervical cancer (%),1.0,na
124,Ever undergone a breast examination for breast cancer (%),0.4,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
127,Women age 15 years and above who use any kind of tobacco (%),9.1,na
128,Men age 15 years and above who use any kind of tobacco (%),40.1,na
129,Women age 15 years and above who consume alcohol (%),0.1,na
130,Men age 15 years and above who consume alcohol (%),0.4,na
