,Indicator,NFHS_5,NFHS_4
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,83.1
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,82.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,058","3,568"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.3,na
51,Institutional births (%),90.5,91.2
52,Institutional births in public facility (%),86.7,86.6
53,Home births that were conducted by skilled health personnel (%),8.1,2.4
54,Births attended by skilled health personnel (%),98.1,93.3
55,Births delivered by caesarean section (%),51.3,32.1
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),55.2,32.6
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(83.3),72.7
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),83.0
62,Children age 12-23 months who have received BCG (%),(88.4),98.7
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(85.5),82.5
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.5),88.9
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(90.5),92.0
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(51.9),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(12.5),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(90.5),65.0
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.3,77.2
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),100.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),0.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,6.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.7,4.1
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.3),(80.9)
81,Children under age 3 years breastfed within one hour of birth (%),51.1,45.9
82,Children under age 6 months exclusively breastfed (%),(48.1),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),14.4,9.1
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),14.8,14.0
87,Children under 5 years who are stunted (height-for-age) (%),28.2,18.2
88,Children under 5 years who are wasted (weight-for-height) (%),24.9,5.4
89,Children under 5 years who are severely wasted (weight-for-height) (%),14.0,2.3
90,Children under 5 years who are underweight (weight-for-age) (%),28.3,8.2
91,Children under 5 years who are overweight (weight-for-height) (%),5.0,4.3
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),4.1,8.8
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.6,33.1
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),90.8,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79.2,41.1
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),75.7,36.7
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),54.1,(35.5)
100,All women age 15-49 years who are anaemic (%),74.3,36.6
101,All women age 15-19 years who are anaemic (%),88.0,36.2
104,Women - Blood sugar level - high (141-160 mg/dl)(%),5.0,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.1,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.4,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),5.3,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),3.7,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.9,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.8,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.0,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.4,na
123,Ever undergone a screening test for cervical cancer (%),0.2,na
124,Ever undergone a breast examination for breast cancer (%),0.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),2.9,na
128,Men age 15 years and above who use any kind of tobacco (%),47.0,na
129,Women age 15 years and above who consume alcohol (%),0.2,na
130,Men age 15 years and above who consume alcohol (%),0.1,na
