,Indicator,NFHS_5,NFHS_4
54,Home births that were conducted by skilled health personnel (%),0.8,1.7
55,Births attended by skilled health personnel (%),97.4,84.0
56,Births delivered by caesarean section (%),37.3,22.0
57,Births in a private health facility that were delivered by caesarean section (%),75.4,60.4
58,Births in a public health facility that were delivered by caesarean section (%),23.8,14.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(87.9),73.2
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.6),92.3
63,Children age 12-23 months who have received BCG (%),(97.4),88.3
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(92.4),76.5
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.9),81.5
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(96.6),81.1
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(48.0),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(87.1),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(92.9),76.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),89.0,83.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(91.8),96.4
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(8.2),3.6
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.9,7.9
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(62.3)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(9.7)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(58.4)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1,1.3
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(73.8),70.5
82,Children under age 3 years breastfed within one hour of birth (%),73.3,69.5
83,Children under age 6 months exclusively breastfed (%),*,(59.5)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(62.5)
85,Breastfeeding children age 6-23 months receiving an adequate diet (%),13.2,9.1
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet (%),13.8,9.0
88,Children under 5 years who are stunted (height-for-age) (%),17.1,24.7
89,Children under 5 years who are wasted (weight-for-height) (%),13.2,13.8
90,Children under 5 years who are severely wasted (weight-for-height) (%),2.4,4.4
91,Children under 5 years who are underweight (weight-for-age) (%),16.9,20.3
92,Children under 5 years who are overweight (weight-for-height) (%),3.3,6.3
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.0,15.4
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),39.3,30.2
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),69.0,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),56.1,19.0
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),67.9,45.5
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(73.4),41.2
101,All women age 15-49 years who are anaemic (%),68.1,45.3
102,All women age 15-19 years who are anaemic (%),71.5,43.0
105,Women - Blood sugar level - high (141-160 mg/dl)(%),9.1,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),11.9,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),22.1,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),8.5,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),14.6,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),25.0,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.1,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.8,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.2,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.6,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.1,na
124,Ever undergone a screening test for cervical cancer (%),0.0,na
125,Ever undergone a breast examination for breast cancer (%),0.0,na
126,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
128,Women age 15 years and above who use any kind of tobacco (%),20.1,na
129,Men age 15 years and above who use any kind of tobacco (%),44.7,na
130,Women age 15 years and above who consume alcohol (%),0.5,na
131,Men age 15 years and above who consume alcohol (%),20.5,na
