Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Male sterilization (%),0.2,0.1,0.1,0.0
IUD/PPIUD (%),1.3,0.7,0.8,0.5
Pill (%),3.6,1.8,2.0,0.8
Condom (%),7.3,3.4,4.0,1.0
Injectables (%),1.1,1.1,1.1,0.3
Total unmet need(%),11.5,13.9,13.6,21.2
Unmet need for spacing (%),5.0,6.3,6.1,9.4
Health worker ever talked to female non-users about family planning (%),17.5,20.7,20.2,12.0
Current users ever told about side effects of current method (%),49.3,50.0,49.9,34.4
Mothers who had an antenatal check-up in the first trimester (%),59.8,51.9,52.9,34.6
Mothers who had at least 4 antenatal care visits (%),32.4,24.0,25.2,14.4
Mothers whose last birth was protected against neonatal tetanus (%),90.5,89.4,89.5,89.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26.0,16.7,18.0,9.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),15.3,8.3,9.3,2.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),85.0,90.2,89.5,79.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),62.6,56.5,57.3,42.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,511","2,771","2,848","1,784"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.1,2.9,2.9,1.8
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.1,58.2,59.3,na
Institutional births (%),84.1,75.0,76.2,63.8
Institutional births in public facility (%),47.4,58.3,56.9,47.6
Home births that were conducted by skilled health personnel (%),3.6,6.5,6.1,8.2
Births attended by skilled health personnel (%),83.1,78.3,79.0,70.0
Births delivered by caesarean section (%),15.7,8.8,9.7,6.2
Births in a private health facility that were delivered by caesarean section (%),36.7,40.6,39.6,31.0
Births in a public health facility that were delivered by caesarean section (%),4.7,3.5,3.6,2.6
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),66.7,71.6,71.0,61.7
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),77.4,83.4,82.7,77.1
Children age 12-23 months who have received BCG (%),95.3,95.6,95.5,91.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),71.1,76.2,75.5,72.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.0,85.3,85.0,80.1
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),84.2,86.0,85.7,79.4
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),35.1,29.1,29.9,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.9,3.1,3.4,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.2,82.6,82.3,65.5
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),52.5,56.5,56.0,63.3
Children age 12-23 months who received most of their vaccinations in a public health  facility (%),91.1,97.4,96.6,95.5
Children age 12-23 months who received most of their vaccinations in a private health  facility (%),7.4,1.4,2.2,3.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.6,13.9,13.7,10.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),56.7,58.4,58.2,45.2
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),25.3,25.6,25.6,20.1
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.2,64.9,64.7,54.9
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.0,3.6,3.5,2.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.8,69.6,69.4,59.8
Children under age 3 years breastfed within one hour of birth (%),35.1,30.5,31.1,34.9
Children under age 6 months exclusively breastfed (%),55.8,59.4,58.9,53.4
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),38.8,39.0,39.0,30.8
Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.2,11.2,10.8,7.3
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),13.8,11.1,11.5,9.2
Total children age 6-23 months receiving an adequate diet  (%),9.2,11.2,10.9,7.5
Children under 5 years who are stunted (height-for-age) (%),36.8,43.9,42.9,48.3
Children under 5 years who are wasted (weight-for-height) (%),21.6,23.1,22.9,20.8
Children under 5 years who are severely wasted (weight-for-height) (%),7.7,9.0,8.8,7.0
Children under 5 years who are underweight (weight-for-age) (%),35.8,41.8,41.0,43.9
Children under 5 years who are overweight (weight-for-height) (%),2.2,2.4,2.4,1.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.7,26.9,25.6,30.4
Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.9,23.8,21.5,25.4
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),25.2,14.2,15.9,11.7
Men who are overweight or obese (BMI ≥25.0 kg/m) (%),18.7,13.6,14.7,12.6
Women who have high risk waist-to-hip ratio (≥0.85) (%),68.4,58.8,60.3,na
Men who have high risk waist-to-hip ratio (≥0.90) (%),54.8,45.9,47.7,na
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.9,69.7,69.4,63.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.0,63.1,63.6,60.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),56.1,63.9,63.1,58.3
All women age 15-49 years who are anaemic (%),65.6,63.1,63.5,60.3
All women age 15-19 years who are anaemic (%),67.2,65.4,65.7,61.0
Men age 15-49 years who are anaemic (<13.0 g/dl)%),27.1,30.1,29.5,32.3
Men age 15-19 years who are anaemic (<13.0 g/dl)(%),33.0,35.2,34.8,37.8
Women - Blood sugar level - high (141-160 mg/dl)(%),7.2,6.3,6.4,na
Women - Blood sugar level - very high (>160 mg/dl)(%),8.0,4.9,5.4,na
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),16.3,12.0,12.7,na
Men - Blood sugar level - high (141-160 mg/dl)(%),10.2,7.8,8.3,na
Men - Blood sugar level - very high (>160 mg/dl) (%),9.2,6.5,7.0,na
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),20.3,15.4,16.2,na
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),9.0,8.6,8.7,na
Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),3.2,3.7,3.6,na
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.6,15.8,15.9,na
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),11.7,11.0,11.2,na
Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.2,4.3,4.3,na
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.5,18.1,18.4,na
Women - Ever undergone a screening test for cervical cancer (%),0.6,0.9,0.8,na
Women - Ever undergone a breast examination for breast cancer (%),0.4,0.3,0.3,na
Women - Ever undergone an oral cavity examination for oral cancer (%),0.4,0.3,0.3,na
Men - Ever undergone an oral cavity examination for oral cancer (%),1.3,0.8,0.9,na
Women who have comprehensive knowledge of HIV/AIDS (%),13.5,9.7,10.3,10.1
Men who have comprehensive knowledge of HIV/AIDS(%),33.1,23.0,25.2,26.3
Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),66.6,55.6,57.4,33.5
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),82.7,79.8,80.4,67.1
Currently married women who usually participate in three household decisions(%),84.0,87.0,86.5,75.2
Women who worked in the last 12 months and were paid in cash (%),11.7,12.8,12.6,12.5
Women owning a house and/or land (alone or jointly with others) (%),53.4,55.7,55.3,58.8
Women having a bank or savings account that they themselves use (%),79.1,76.2,76.7,26.4
Women having a mobile phone that they themselves use (%),61.8,49.3,51.4,40.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.7,56.0,58.8,31.0
Ever-married women age 18-49 years who have ever experienced spousal violence (%),40.6,39.9,40.0,43.7
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.9,3.0,2.8,4.8
Young women age 18-29 years who experienced sexual violence by age 18 (%),2.2,1.7,1.8,4.8
Women age 15 years and above who use any kind of tobacco (%),3.6,5.3,5.0,na
Men age 15 years and above who use any kind of tobacco (%),40.3,50.7,48.8,na
Women age 15 years and above who consume alcohol (%),0.5,0.4,0.4,na
Men age 15 years and above who consume alcohol (%),14.0,15.8,15.5,na
