,Indicator,NFHS-5
76,Children under 5 years who are overweight (weight-for-height) (%),2.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),22.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),75.4
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),42.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),28.8
83,All women age 15-49 years who are anaemic (%),41.7
84,All women age 15-19 years who are anaemic (%),49.5
85,Blood sugar level - high (141-160 mg/dl)(%),4.6
86,Blood sugar level - very high (>160 mg/dl)(%),3.6
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.7
88,Blood sugar level - high (141-160 mg/dl)(%),7.4
89,Blood sugar level - very high (>160 mg/dl) (%),4.7
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.5
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.0
93,pressure (%),21.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.9
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.2
96,pressure (%),28.6
97,Ever undergone a screening test for cervical cancer (%),0.4
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.2
100,Women age 15 years and above who use any kind of tobacco (%),3.7
101,Men age 15 years and above who use any kind of tobacco (%),30.6
102,Women age 15 years and above who consume alcohol (%),0.3
103,Men age 15 years and above who consume alcohol (%),10.2
