,Indicator,NFHS-5
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),64.7
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.8
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(87.8)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(8.6)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),18.4
67,Children under age 6 months exclusively breastfed (%),(54.5)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),7.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),6.0
72,Children under 5 years who are stunted (height-for-age) (%),28.2
73,Children under 5 years who are wasted (weight-for-height) (%),17.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.0
75,Children under 5 years who are underweight (weight-for-age) (%),23.4
76,Children under 5 years who are overweight (weight-for-height) (%),3.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.1
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),43.7
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),49.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),61.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),55.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(39.6)
83,All women age 15-49 years who are anaemic (%),55.2
84,All women age 15-19 years who are anaemic (%),59.8
85,Women - Blood sugar level - high (141-160 mg/dl)(%),7.8
86,Women - Blood sugar level - very high (>160 mg/dl)(%),9.4
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.9
88,Men - Blood sugar level - high (141-160 mg/dl)(%),8.0
89,Men - Blood sugar level - very high (>160 mg/dl) (%),11.2
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.2
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.3
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.4
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),19.3
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.5
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.9
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),24.5
97,Ever undergone a screening test for cervical cancer (%),0.7
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.9
100,Women age 15 years and above who use any kind of tobacco (%),1.7
101,Men age 15 years and above who use any kind of tobacco (%),22.3
102,Women age 15 years and above who consume alcohol (%),0.1
103,Men age 15 years and above who consume alcohol (%),13.4
