,Indicator,NFHS-5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.8
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(29.0)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(11.6)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.2)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.5
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),18.2
67,Children under age 6 months exclusively breastfed (%),61.8
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),18.3
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(10.6)
71,Total children age 6-23 months receiving an adequate diet  (%),16.1
72,Children under 5 years who are stunted (height-for-age) (%),29.8
73,Children under 5 years who are wasted (weight-for-height) (%),20.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),9.9
75,Children under 5 years who are underweight (weight-for-age) (%),29.9
76,Children under 5 years who are overweight (weight-for-height) (%),4.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.1
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.1
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),67.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(40.2)
83,All women age 15-49 years who are anaemic (%),46.0
84,All women age 15-19 years who are anaemic (%),48.8
85,Blood sugar level - high (141-160 mg/dl)(%),5.5
86,Blood sugar level - very high (>160 mg/dl)(%),5.2
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.5
88,Blood sugar level - high (141-160 mg/dl)(%),8.5
89,Blood sugar level - very high (>160 mg/dl) (%),5.8
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.3
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.9
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.0
93,pressure (%),21.6
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.6
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.8
96,pressure (%),24.2
97,Ever undergone a screening test for cervical cancer (%),0.2
98,Ever undergone a breast examination for breast cancer (%),0.2
99,Ever undergone an oral cavity examination for oral cancer (%),0.2
100,Women age 15 years and above who use any kind of tobacco (%),3.7
101,Men age 15 years and above who use any kind of tobacco (%),31.7
102,Women age 15 years and above who consume alcohol (%),0.3
103,Men age 15 years and above who consume alcohol (%),13.7
