Indicator,NFHS-5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),86.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.8
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(57.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(57.7)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(86.8)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),73.1
Children under age 3 years breastfed within one hour of birth (%),31.5
Children under age 6 months exclusively breastfed (%),62.5
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(25.7)
Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(3.9)
Total children age 6-23 months receiving an adequate diet  (%),5.6
Children under 5 years who are stunted (height-for-age) (%),51.6
Children under 5 years who are wasted (weight-for-height) (%),14.1
Children under 5 years who are severely wasted (weight-for-height) (%),5.6
Children under 5 years who are underweight (weight-for-age) (%),29.8
Children under 5 years who are overweight (weight-for-height) (%),3.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),19.6
Women who have high risk waist-to-hip ratio (≥0.85) (%),61.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.8
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),53.0
All women age 15-49 years who are anaemic (%),51.3
All women age 15-19 years who are anaemic (%),57.3
Women - Blood sugar level - high (141-160 mg/dl)(%),3.5
Women - Blood sugar level - very high (>160 mg/dl)(%),3.2
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.4
Men - Blood sugar level - high (141-160 mg/dl)(%),4.8
Men - Blood sugar level - very high (>160 mg/dl) (%),3.4
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.5
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.2
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),19.3
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.7
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),22.7
Ever undergone a screening test for cervical cancer (%),0.0
Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),4.9
Men age 15 years and above who use any kind of tobacco (%),40.3
Women age 15 years and above who consume alcohol (%),0.2
Men age 15 years and above who consume alcohol (%),16.7
