,Indicator,NFHS-5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.5
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.5
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),35.5
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),64.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.6
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),48.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),37.2
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),54.0
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),50.0
66,Children under age 3 years breastfed within one hour of birth (%),33.6
67,Children under age 6 months exclusively breastfed (%),52.4
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(21.3)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),8.6
72,Children under 5 years who are stunted (height-for-age) (%),51.8
73,Children under 5 years who are wasted (weight-for-height) (%),18.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.8
75,Children under 5 years who are underweight (weight-for-age) (%),43.0
76,Children under 5 years who are overweight (weight-for-height) (%),3.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),44.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),39.3
83,All women age 15-49 years who are anaemic (%),55.3
84,All women age 15-19 years who are anaemic (%),55.6
85,Women - Blood sugar level - high (141-160 mg/dl)(%),5.0
86,Women - Blood sugar level - very high (>160 mg/dl)(%),3.6
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0
88,Men - Blood sugar level - high (141-160 mg/dl)(%),6.8
89,Men - Blood sugar level - very high (>160 mg/dl) (%),3.7
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.9
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.6
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.4
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),13.0
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.3
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.1
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),13.8
97,Ever undergone a screening test for cervical cancer (%),0.7
98,Ever undergone a breast examination for breast cancer (%),0.4
99,Ever undergone an oral cavity examination for oral cancer (%),0.2
100,Women age 15 years and above who use any kind of tobacco (%),7.1
101,Men age 15 years and above who use any kind of tobacco (%),41.9
102,Women age 15 years and above who consume alcohol (%),0.5
103,Men age 15 years and above who consume alcohol (%),14.0
