,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
88,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),46.1,35.4,40.4,30.9
89,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),43.1,31.6,37.0,28.2
90,Women who have high risk waist-to-hip ratio (≥0.85) (%),58.3,53.8,55.9,na
91,Men who have high risk waist-to-hip ratio (≥0.90) (%),55.6,56.8,56.2,na
92,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),53.7,60.4,57.4,50.7
93,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.5,55.4,53.6,55.4
94,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),42.6,53.1,48.3,44.4
95,All women age 15-49 years who are anaemic (%),51.3,55.3,53.4,55.0
96,All women age 15-19 years who are anaemic (%),50.6,54.9,52.9,54.2
97,Men age 15-49 years who are anaemic (<13.0 g/dl)%),15.0,15.5,15.2,20.4
98,Women - Men age 15-19 years who are anaemic (<13.0 g/dl)(%),24.3,24.9,24.6,26.0
99,Women - Blood sugar level - high (141-160 mg/dl)(%),8.2,6.9,7.5,na
100,Women - Blood sugar level - very high (>160 mg/dl)(%),13.2,9.4,11.1,na
101,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.8,18.0,20.7,na
102,Men - Blood sugar level - high (141-160 mg/dl)(%),8.7,7.6,8.1,na
103,Men - Blood sugar level - very high (>160 mg/dl) (%),12.7,11.2,11.9,na
104,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.7,20.6,22.1,na
105,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8,13.8,14.3,na
106,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.5,5.9,6.2,na
107,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.4,23.4,24.8,na
108,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.1,19.0,19.5,na
109,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),7.6,7.1,7.4,na
110,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),31.5,29.0,30.2,na
111,Women - Ever undergone a screening test for cervical cancer (%),10.0,9.6,9.8,na
112,Women - Ever undergone a breast examination for breast cancer (%),5.9,5.3,5.6,na
113,Men - Ever undergone an oral cavity examination for oral cancer (%),1.3,1.1,1.2,na
114,Ever undergone an oral cavity examination for oral cancer (%),0.3,1.0,0.7,na
115,Women who have comprehensive knowledge of HIV/AIDS (%),24.6,22.8,23.6,16.0
116,Men who have comprehensive knowledge of HIV/AIDS(%),31.1,22.4,26.6,10.9
117,Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),80.7,75.6,77.9,64.7
118,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.7,90.4,90.1,79.8
119,Currently married women who usually participate in three household decisions(%),91.8,93.7,92.8,84.0
120,Women who worked in the last 12 months and were paid in cash (%),35.4,45.5,40.8,30.5
121,Women owning a house and/or land (alone or jointly with others) (%),43.2,52.0,47.9,36.2
122,Women having a bank or savings account that they themselves use (%),92.7,91.7,92.2,77.0
123,Women having a mobile phone that they themselves use (%),81.2,68.9,74.6,62.0
124,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.6,98.0,98.3,91.4
125,Ever-married women age 18-49 years who have ever experienced spousal violence (%),32.9,42.2,38.1,40.7
126,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.3,3.4,3.3,6.2
127,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.0,0.0,0.9
128,Women age 15 years and above who use any kind of tobacco (%),2.3,7.3,4.9,na
129,Men age 15 years and above who use any kind of tobacco (%),16.7,23.3,20.1,na
130,Women age 15 years and above who consume alcohol (%),0.2,0.4,0.3,na
131,Men age 15 years and above who consume alcohol (%),21.5,29.2,25.4,na
