Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Women - Ever undergone a screening test for cervical cancer (%),1.6,0.6,1.2,na
Women - Ever undergone a breast examination for breast cancer (%),1.3,1.2,1.3,na
Women - Ever undergone an oral cavity examination for oral cancer (%),0.8,0.4,0.6,na
Men - Ever undergone an oral cavity examination for oral cancer (%),0.6,2.1,1.1,na
Women who have comprehensive knowledge of HIV/AIDS (%),47.7,50.6,49.0,34.6
Men who have comprehensive knowledge of HIV/AIDS(%),62.8,74.7,67.2,41.9
Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),89.4,90.8,90.1,77.4
Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),98.0,97.5,97.8,89.2
Currently married women who usually participate in three household decisions(%),89.3,98.6,93.1,93.8
Women who worked in the last 12 months and were paid in cash (%),35.2,27.9,31.9,23.6
Women owning a house and/or land (alone or jointly with others) (%),22.4,24.1,23.2,33.9
Women having a bank or savings account that they themselves use (%),85.1,92.4,88.3,82.8
Women having a mobile phone that they themselves use (%),94.5,87.1,91.2,80.9
Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),96.2,97.6,96.8,89.3
Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,11.4,8.3,12.9
Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.9,2.7,1.6,1.6
Young women age 18-29 years who experienced sexual violence by age 18 (%),(0.0),*,0.0,0.0
Women age 15 years and above who use any kind of tobacco (%),2.4,2.8,2.6,na
Men age 15 years and above who use any kind of tobacco (%),19.5,16.3,18.2,na
Women age 15 years and above who consume alcohol (%),5.6,5.3,5.5,na
Men age 15 years and above who consume alcohol (%),38.2,34.9,36.9,na
