,Indicator,NFHS-5
42,Institutional births in public facility (%),89.8
43,Home births that were conducted by skilled health personnel (%),0.0
44,Births attended by skilled health personnel (%),93.6
45,Births delivered by caesarean section (%),17.1
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),9.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(75.8)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*
50,Children age 12-23 months who have received BCG (%),(92.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(81.3)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(84.2)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(84.2)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(48.4)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(63.1)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(82.0)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),92.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),0.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),55.6
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(0.0)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),(0.0)
72,Children under 5 years who are stunted (height-for-age) (%),40.3
73,Children under 5 years who are wasted (weight-for-height) (%),18.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.7
75,Children under 5 years who are underweight (weight-for-age) (%),35.7
76,Children under 5 years who are overweight (weight-for-height) (%),0.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),8.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),40.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),(71.6)
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.5
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
83,All women age 15-49 years who are anaemic (%),59.2
84,All women age 15-19 years who are anaemic (%),56.4
85,Blood sugar level - high (141-160 mg/dl)(%),12.2
86,Blood sugar level - very high (>160 mg/dl)(%),6.9
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.5
88,Blood sugar level - high (141-160 mg/dl)(%),12.2
89,Blood sugar level - very high (>160 mg/dl) (%),6.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.9
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.7
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.6
93,pressure (%),21.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.2
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7
96,pressure (%),25.2
97,Ever undergone a screening test for cervical cancer (%),0.3
98,Ever undergone a breast examination for breast cancer (%),0.3
99,Ever undergone an oral cavity examination for oral cancer (%),0.3
100,Women age 15 years and above who use any kind of tobacco (%),2.6
101,Men age 15 years and above who use any kind of tobacco (%),37.6
102,Women age 15 years and above who consume alcohol (%),0.5
103,Men age 15 years and above who consume alcohol (%),8.2
